epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
30,931.76,0.3997,1.36997,0.80224,0.8283,0,0.99653,1,0.995,0.91174,0.99653,1,0.995,0.85865,0.39422,0.34609,0.77479,0.71389,0,0.0011884,0.0011884,0.0011884
31,961.51,0.39727,0.81498,0.87069,0.80623,0,0.99621,1,0.995,0.95134,0.99621,1,0.995,0.92904,0.31766,0.39411,0.76559,0.70462,0,0.0011719,0.0011719,0.0011719
32,991.48,0.369,0.61595,0.77956,0.83091,0,0.99667,1,0.995,0.9815,0.99667,1,0.995,0.91852,0.27897,0.49821,0.71294,0.70452,0,0.0011554,0.0011554,0.0011554
33,1021.56,0.36193,0.65805,0.75314,0.8096,0,0.99674,1,0.995,0.96992,0.99674,1,0.995,0.89993,0.30266,0.45653,0.73459,0.7094,0,0.00113889,0.00113889,0.00113889
34,1051.65,0.37785,0.97583,0.68301,0.8223,0,0.99643,1,0.995,0.98853,0.99643,1,0.995,0.90202,0.31397,0.43222,0.78093,0.71129,0,0.00112239,0.00112239,0.00112239
35,1082.12,0.34256,0.4041,0.64382,0.80593,0,0.9965,1,0.995,0.97667,0.9965,1,0.995,0.90375,0.30547,0.37236,0.81926,0.71035,0,0.00110589,0.00110589,0.00110589
36,1111.92,0.37018,1.06976,0.69721,0.82003,0,0.99662,1,0.995,0.9776,0.99662,1,0.995,0.91723,0.30747,0.39235,0.85914,0.71148,0,0.00108938,0.00108938,0.00108938
37,1141.97,0.38122,0.34178,0.72528,0.8337,0,0.99648,1,0.995,0.96972,0.99648,1,0.995,0.91177,0.30907,0.38542,0.74958,0.70859,0,0.00107288,0.00107288,0.00107288
38,1171.8,0.33367,0.86927,0.71801,0.7993,0,0.99648,1,0.995,0.96972,0.99648,1,0.995,0.91177,0.30907,0.38542,0.74958,0.70859,0,0.00105638,0.00105638,0.00105638
39,1201.3,0.41341,0.82627,0.73089,0.79635,0,0.99658,1,0.995,0.94667,0.99658,1,0.995,0.91247,0.38185,0.34477,0.70525,0.71379,0,0.00103987,0.00103987,0.00103987
40,1232.54,0.33574,0.49215,0.68871,0.7821,0,0.9967,1,0.995,0.936,0.9967,1,0.995,0.88638,0.39497,0.62806,0.70812,0.71532,0,0.00102337,0.00102337,0.00102337
41,1262,0.33804,0.36604,0.70659,0.7726,0,0.99661,1,0.995,0.96508,0.99661,1,0.995,0.906,0.28454,0.52948,0.64182,0.7068,0,0.00100687,0.00100687,0.00100687
42,1291.35,0.33283,1.13172,0.69511,0.8074,0,0.99651,1,0.995,0.995,0.99651,1,0.995,0.9078,0.251,0.32376,0.63686,0.70119,0,0.000990365,0.000990365,0.000990365
43,1320.31,0.30461,0.72542,0.75247,0.79263,0,0.99643,1,0.995,0.995,0.99643,1,0.995,0.91984,0.28385,0.31293,0.63853,0.70237,0,0.000973861,0.000973861,0.000973861
44,1349.45,0.35488,0.48256,0.70065,0.8091,0,0.99642,1,0.995,0.98807,0.99642,1,0.995,0.94583,0.27076,0.30331,0.66849,0.70512,0,0.000957358,0.000957358,0.000957358
45,1380.53,0.35903,0.38072,0.65558,0.80461,0,0.99629,1,0.995,0.98807,0.99629,1,0.995,0.93825,0.27755,0.31671,0.67881,0.7087,0,0.000940855,0.000940855,0.000940855
46,1409.6,0.36622,0.70589,0.64683,0.81584,0,0.99629,1,0.995,0.98807,0.99629,1,0.995,0.93825,0.27755,0.31671,0.67881,0.7087,0,0.000924352,0.000924352,0.000924352
47,1440.13,0.34882,1.56112,0.63939,0.82605,0,0.99621,1,0.995,0.9669,0.99621,1,0.995,0.9346,0.31589,0.30729,0.69281,0.71379,0,0.000907848,0.000907848,0.000907848
48,1470.11,0.34659,1.13104,0.59178,0.82965,0,0.99618,1,0.995,0.94213,0.99618,1,0.995,0.93143,0.3329,0.28737,0.69855,0.71494,0,0.000891345,0.000891345,0.000891345
49,1499.71,0.3782,0.63616,0.63315,0.80559,0,0.99626,1,0.995,0.9494,0.99626,1,0.995,0.88999,0.32827,0.45025,0.68353,0.71217,0,0.000874842,0.000874842,0.000874842
50,1532.35,0.37475,0.51909,0.61423,0.81854,0,0.99621,1,0.995,0.97414,0.9298,0.93333,0.87267,0.81402,0.304,1.33908,0.66726,0.71197,0,0.000858338,0.000858338,0.000858338
51,1561.92,0.32122,0.44635,0.6303,0.78597,0,0.99632,1,0.995,0.98277,0.9299,0.93333,0.87267,0.81253,0.28737,1.19987,0.68293,0.70945,0,0.000841835,0.000841835,0.000841835
52,1591.24,0.31592,0.62753,0.58022,0.80039,0,0.99652,1,0.995,0.97047,0.99652,1,0.995,0.92404,0.27028,0.43311,0.66812,0.70914,0,0.000825332,0.000825332,0.000825332
53,1619.65,0.33707,0.53365,0.59786,0.79979,0,0.99664,1,0.995,0.995,0.99664,1,0.995,0.9104,0.23909,0.31563,0.6362,0.70944,0,0.000808828,0.000808828,0.000808828
54,1647.71,0.36183,0.8987,0.55589,0.79845,0,0.99664,1,0.995,0.995,0.99664,1,0.995,0.9104,0.23909,0.31563,0.6362,0.70944,0,0.000792325,0.000792325,0.000792325
55,1675.12,0.32938,0.56177,0.58054,0.8144,0,0.99664,1,0.995,0.9832,0.99664,1,0.995,0.90973,0.26261,0.32107,0.6286,0.71048,0,0.000775822,0.000775822,0.000775822
56,1703.32,0.32236,0.3905,0.53985,0.79545,0,0.99663,1,0.995,0.98453,0.99663,1,0.995,0.90927,0.25016,0.3144,0.62281,0.71011,0,0.000759318,0.000759318,0.000759318
57,1731.65,0.33567,0.4385,0.5567,0.81942,0,0.99664,1,0.995,0.97504,0.99664,1,0.995,0.90327,0.24976,0.29898,0.606,0.70943,0,0.000742815,0.000742815,0.000742815
58,1762.98,0.31662,0.39799,0.55666,0.79742,0,0.99659,1,0.995,0.97307,0.99659,1,0.995,0.90356,0.24611,0.29789,0.59844,0.70759,0,0.000726312,0.000726312,0.000726312
59,1791.09,0.29514,0.96019,0.55864,0.79507,0,0.99651,1,0.995,0.995,0.99651,1,0.995,0.9135,0.21574,0.30072,0.57979,0.7035,0,0.000709809,0.000709809,0.000709809
60,1818.54,0.29966,0.31491,0.56321,0.80255,0,0.99649,1,0.995,0.995,0.99649,1,0.995,0.9135,0.19546,0.28439,0.56252,0.70147,0,0.000693305,0.000693305,0.000693305
61,1846.4,0.31962,0.49524,0.54523,0.78962,0,0.9965,1,0.995,0.98767,0.9965,1,0.995,0.9255,0.24187,0.2854,0.55165,0.70275,0,0.000676802,0.000676802,0.000676802
62,1873.92,0.35069,0.38078,0.5665,0.80281,0,0.9965,1,0.995,0.98767,0.9965,1,0.995,0.9255,0.24187,0.2854,0.55165,0.70275,0,0.000660299,0.000660299,0.000660299
63,1901.9,0.31687,0.37157,0.56895,0.78509,0,0.99651,1,0.995,0.9872,0.99651,1,0.995,0.92206,0.22503,0.27967,0.56117,0.70053,0,0.000643795,0.000643795,0.000643795
64,1929.65,0.31295,0.27821,0.54841,0.79153,0,0.99651,1,0.995,0.995,0.99651,1,0.995,0.91027,0.19461,0.27889,0.51968,0.69882,0,0.000627292,0.000627292,0.000627292
65,1957.82,0.29323,0.65643,0.52417,0.7794,0,0.99652,1,0.995,0.995,0.99652,1,0.995,0.9045,0.19752,0.28062,0.53235,0.70141,0,0.000610789,0.000610789,0.000610789
66,1985.53,0.28716,0.98787,0.52377,0.7912,0,0.99657,1,0.995,0.995,0.99657,1,0.995,0.90555,0.22115,0.28824,0.53221,0.70237,0,0.000594286,0.000594286,0.000594286
67,2013.41,0.2967,0.53638,0.50113,0.79219,0,0.99654,1,0.995,0.98407,0.99654,1,0.995,0.90804,0.25073,0.28844,0.5565,0.70575,0,0.000577782,0.000577782,0.000577782
68,2041.11,0.30271,0.65699,0.53858,0.77884,0,0.99657,1,0.995,0.97577,0.99657,1,0.995,0.90997,0.25166,0.27363,0.5473,0.70657,0,0.000561279,0.000561279,0.000561279
69,2068.97,0.27853,0.42905,0.49508,0.79758,0,0.99655,1,0.995,0.95291,0.99655,1,0.995,0.91373,0.24489,0.26912,0.53392,0.70643,0,0.000544776,0.000544776,0.000544776
70,2096.91,0.26689,0.37316,0.48146,0.78176,0,0.99655,1,0.995,0.95291,0.99655,1,0.995,0.91373,0.24489,0.26912,0.53392,0.70643,0,0.000528272,0.000528272,0.000528272
71,2125.28,0.26792,0.38843,0.4661,0.81587,0,0.99661,1,0.995,0.98367,0.99661,1,0.995,0.9061,0.23436,0.28161,0.52689,0.70474,0,0.000511769,0.000511769,0.000511769
72,2153.7,0.28638,0.35867,0.51023,0.82286,0,0.99671,1,0.995,0.98367,0.99671,1,0.995,0.90433,0.23205,0.29109,0.5135,0.70384,0,0.000495266,0.000495266,0.000495266
73,2181.27,0.27521,0.91156,0.48535,0.77979,0,0.99668,1,0.995,0.98367,0.99668,1,0.995,0.90746,0.22864,0.28633,0.4993,0.70375,0,0.000478762,0.000478762,0.000478762
74,2209.38,0.25784,0.47867,0.46737,0.79552,0,0.99671,1,0.995,0.98277,0.99671,1,0.995,0.90175,0.22595,0.28062,0.48965,0.70417,0,0.000462259,0.000462259,0.000462259
75,2239.81,0.26764,0.38686,0.48054,0.77822,0,0.99664,1,0.995,0.995,0.99664,1,0.995,0.905,0.22288,0.28101,0.47645,0.70306,0,0.000445756,0.000445756,0.000445756
76,2267.13,0.25135,0.35112,0.48308,0.76611,0,0.99665,1,0.995,0.995,0.99665,1,0.995,0.905,0.2016,0.27538,0.47018,0.69893,0,0.000429253,0.000429253,0.000429253
77,2294.95,0.27093,0.61871,0.4742,0.79842,0,0.99655,1,0.995,0.995,0.99655,1,0.995,0.90092,0.2074,0.26921,0.46257,0.69975,0,0.000412749,0.000412749,0.000412749
78,2322.68,0.3053,0.4621,0.48503,0.80087,0,0.99655,1,0.995,0.995,0.99655,1,0.995,0.90092,0.2074,0.26921,0.46257,0.69975,0,0.000396246,0.000396246,0.000396246
79,2350.63,0.32443,0.61838,0.49006,0.79384,0,0.99657,1,0.995,0.98277,0.99657,1,0.995,0.90082,0.22147,0.26483,0.45338,0.70168,0,0.000379743,0.000379743,0.000379743
80,2380.75,0.27236,0.55232,0.46127,0.78918,0,0.99653,1,0.995,0.9832,0.99653,1,0.995,0.90698,0.23108,0.26254,0.45284,0.70242,0,0.000363239,0.000363239,0.000363239
81,2412.49,0.27136,0.48358,0.45457,0.78535,0,0.99658,1,0.995,0.995,0.99658,1,0.995,0.90092,0.20842,0.26233,0.4428,0.69955,0,0.000346736,0.000346736,0.000346736
82,2442.69,0.2804,0.48885,0.47221,0.82624,0,0.99661,1,0.995,0.995,0.99661,1,0.995,0.9,0.19233,0.26361,0.43136,0.69859,0,0.000330233,0.000330233,0.000330233
83,2469.79,0.28663,0.49343,0.47671,0.78279,0,0.99665,1,0.995,0.995,0.99665,1,0.995,0.9,0.18611,0.26685,0.4301,0.69871,0,0.000313729,0.000313729,0.000313729
84,2498.05,0.25864,0.30982,0.47174,0.7899,0,0.99669,1,0.995,0.995,0.99669,1,0.995,0.9,0.1855,0.2718,0.43398,0.6995,0,0.000297226,0.000297226,0.000297226
85,2525.76,0.26574,0.62328,0.43528,0.80765,0,0.99668,1,0.995,0.995,0.99668,1,0.995,0.9,0.1821,0.2753,0.43238,0.69911,0,0.000280723,0.000280723,0.000280723
86,2553.59,0.25611,0.41855,0.46291,0.79344,0,0.99668,1,0.995,0.995,0.99668,1,0.995,0.9,0.1821,0.2753,0.43238,0.69911,0,0.00026422,0.00026422,0.00026422
87,2580.87,0.24344,0.28793,0.44775,0.78287,0,0.99669,1,0.995,0.995,0.99669,1,0.995,0.9,0.18081,0.27465,0.4249,0.69932,0,0.000247716,0.000247716,0.000247716
88,2609.07,0.24977,0.54175,0.4429,0.81008,0,0.99663,1,0.995,0.995,0.99663,1,0.995,0.9,0.18323,0.26973,0.42856,0.69914,0,0.000231213,0.000231213,0.000231213
