x,y,lorentz_fit_y,residual
498.215,1100,,
498.25,1100.5,,
498.285,1101,,
498.32,1109,,
498.355,1109,,
498.39,1109,,
498.425,1108,,
498.46,1108,,
498.495,1108,,
498.53,1110,,
498.565,1110,,
498.6,1110,,
498.635,1110,,
498.67,1110,,
498.705,1107,,
498.74,1107,,
498.775,1101,,
498.81,1111,,
498.845,1101,,
498.88,1093,,
498.915,1093,,
498.95,1093,,
498.985,1093,,
499.02,1104,,
499.055,1110,,
499.09,1104,,
499.125,1116,,
499.16,1116,,
499.195,1107,,
499.23,1107,,
499.265,1116,,
499.3,1109,,
499.335,1113,,
499.37,1113,,
499.405,1109,,
499.44,1107,,
499.475,1107,,
499.51,1099,,
499.545,1099,,
499.58,1099,,
499.615,1099,,
499.65,1099,,
499.685,1099,,
499.72,1093,,
499.755,1093,,
499.79,1101,,
499.825,1100,,
499.86,1100,,
499.894,1101,,
499.929,1106,,
499.964,1105,,
499.999,1116,,
500.034,1116,,
500.069,1105,,
500.104,1105,,
500.139,1105,,
500.174,1098,,
500.209,1098,,
500.244,1098,,
500.279,1098,,
500.314,1098,,
500.349,1098,,
500.384,1110,,
500.419,1113,,
500.454,1110,,
500.489,1102,,
500.524,1114,,
500.559,1113,,
500.594,1107,,
500.629,1107,,
500.664,1107,,
500.699,1107,,
500.734,1107,,
500.768,1107,,
500.803,1110,,
500.838,1113,,
500.873,1114,,
500.908,1114,,
500.943,1113,,
500.978,1113,,
501.013,1113,,
501.048,1108,,
501.083,1108,,
501.118,1108,,
501.153,1100,,
501.188,1108,,
501.223,1108,,
501.258,1108,,
501.293,1104,,
501.328,1105,,
501.362,1104,,
501.397,1100,,
501.432,1100,,
501.467,1105,,
501.502,1105,,
501.537,1105,,
501.572,1105,,
501.607,1102,,
501.642,1102,,
501.677,1102,,
501.712,1107,,
501.747,1107,,
501.782,1110,,
501.817,1110,,
501.852,1107,,
501.886,1109,,
501.921,1109,,
501.956,1109,,
501.991,1099,,
502.026,1099,,
502.061,1099,,
502.096,1105,,
502.131,1101,,
502.166,1101,,
502.201,1105,,
502.236,1103,,
502.271,1101,,
502.305,1103,,
502.34,1103,,
502.375,1103,,
502.41,1099,,
502.445,1103,,
502.48,1103,,
502.515,1108,,
502.55,1103,,
502.585,1103,,
502.62,1103,,
502.655,1103,,
502.69,1103,,
502.724,1107,,
502.759,1107,,
502.794,1107,,
502.829,1107,,
502.864,1103,,
502.899,1103,,
502.934,1106,,
502.969,1107,,
503.004,1107,,
503.039,1107,,
503.073,1107,,
503.108,1107,,
503.143,1107,,
503.178,1107,,
503.213,1106,,
503.248,1106,,
503.283,1108,,
503.318,1108,,
503.353,1108,,
503.388,1108,,
503.422,1108,,
503.457,1106,,
503.492,1106,,
503.527,1108,,
503.562,1101,,
503.597,1104,,
503.632,1109,,
503.667,1105,,
503.702,1105,,
503.736,1105,,
503.771,1105,,
503.806,1105,,
503.841,1111,,
503.876,1110,,
503.911,1110,,
503.946,1113,,
503.981,1113,,
504.015,1110,,
504.05,1117,,
504.085,1117,,
504.12,1113,,
504.155,1113,,
504.19,1117,,
504.225,1115,,
504.26,1115,,
504.294,1115,,
504.329,1110,,
504.364,1105,,
504.399,1105,,
504.434,1104,,
504.469,1104,,
504.504,1105,,
504.539,1106,,
504.573,1106,,
504.608,1107,,
504.643,1109,,
504.678,1107,,
504.713,1102,,
504.748,1102,,
504.783,1101,,
504.817,1101,,
504.852,1101,,
504.887,1101,,
504.922,1110,,
504.957,1122,,
504.992,1122,,
505.027,1117,,
505.061,1117,,
505.096,1117,,
505.131,1107,,
505.166,1107,,
505.201,1107,,
505.236,1107,,
505.271,1107,,
505.305,1109,,
505.34,1109,,
505.375,1109,,
505.41,1109,,
505.445,1109,,
505.48,1109,,
505.514,1110,,
505.549,1111,,
505.584,1112,,
505.619,1112,,
505.654,1113,,
505.689,1113,,
505.724,1112,,
505.758,1113,,
505.793,1109,,
505.828,1109,,
505.863,1109,,
505.898,1111,,
505.933,1109,,
505.967,1110,,
506.002,1110,,
506.037,1110,,
506.072,1110,,
506.107,1112,,
506.142,1115,,
506.176,1117,,
506.211,1118,,
506.246,1118,,
506.281,1117,,
506.316,1113,,
506.35,1111,,
506.385,1111,,
506.42,1111,,
506.455,1113,,
506.49,1113,,
506.525,1113,,
506.559,1115,,
506.594,1113,,
506.629,1113,,
506.664,1115,,
506.699,1115,,
506.734,1117,,
506.768,1117,,
506.803,1117,,
506.838,1117,,
506.873,1117,,
506.908,1111,,
506.942,1113,,
506.977,1111,,
507.012,1111,,
507.047,1107,,
507.082,1113,,
507.116,1116,,
507.151,1116,,
507.186,1116,,
507.221,1116,,
507.256,1115,,
507.29,1106,,
507.325,1104,,
507.36,1106,,
507.395,1115,,
507.43,1113,,
507.464,1114,,
507.499,1116,,
507.534,1117,,
507.569,1114,,
507.604,1114,,
507.638,1110,,
507.673,1110,,
507.708,1110,,
507.743,1110,,
507.778,1114,,
507.812,1114,,
507.847,1114,,
507.882,1114,,
507.917,1114,,
507.952,1113,,
507.986,1113,,
508.021,1116,,
508.056,1116,,
508.091,1116,,
508.126,1116,,
508.16,1116,,
508.195,1116,,
508.23,1116,,
508.265,1117,,
508.299,1117,,
508.334,1117,,
508.369,1117,,
508.404,1117,,
508.439,1112,,
508.473,1112,,
508.508,1109,,
508.543,1109,,
508.578,1109,,
508.612,1109,,
508.647,1112,,
508.682,1112,,
508.717,1112,,
508.752,1113,,
508.786,1116,,
508.821,1116,,
508.856,1117,,
508.891,1116,,
508.925,1112,,
508.96,1112,,
508.995,1117,,
509.03,1112,,
509.064,1105,,
509.099,1108,,
509.134,1108,,
509.169,1108,,
509.203,1113,,
509.238,1113,,
509.273,1116,,
509.308,1113,,
509.342,1113,,
509.377,1109,,
509.412,1109,,
509.447,1109,,
509.481,1110,,
509.516,1108,,
509.551,1110,,
509.586,1110,,
509.62,1114,,
509.655,1114,,
509.69,1114,,
509.725,1111,,
509.759,1113,,
509.794,1113,,
509.829,1113,,
509.864,1120,,
509.898,1120,,
509.933,1120,,
509.968,1120,,
510.003,1120,1111.52999,8.47001035
510.037,1120,1111.534516,8.465484204
510.072,1117,1111.539252,5.460747712
510.107,1117,1111.544069,5.45593113
510.142,1114,1111.548967,2.451032645
510.176,1114,1111.553806,2.446193925
510.211,1115,1111.558872,3.441128466
510.246,1119,1111.564025,7.435975409
510.281,1115,1111.569267,3.430732728
510.315,1115,1111.574448,3.425552038
510.35,1122,1111.579874,10.4201265
510.385,1116,1111.585395,4.414604955
510.42,1114,1111.591015,2.408985133
510.454,1114,1111.59657,2.403429552
510.489,1116,1111.602391,4.397609059
510.524,1116,1111.608317,4.391683125
510.558,1125,1111.614177,13.38582311
510.593,1125,1111.620318,13.37968175
510.628,1125,1111.626573,13.37342711
510.663,1124,1111.632944,12.36705641
510.697,1123,1111.639246,11.36075386
510.732,1123,1111.645854,11.35414583
510.767,1123,1111.652587,11.34741289
510.801,1123,1111.65925,11.34074974
510.836,1115,1111.666239,3.333761228
510.871,1115,1111.673362,3.32663814
510.906,1114,1111.680623,2.319377001
510.94,1114,1111.687812,2.312187738
510.975,1114,1111.695356,2.304643844
511.01,1115,1111.703049,3.296950913
