cycle,time,ok,aligned,reason,center_x,center_y,target_x,target_y,dx,dy,tolerance_px,color_area_px,a_mask_area_px,b_mask_area_px,step9_c_source,step9_c_area_px,step9_c_center_x,step9_c_center_y,step9_c_dirty_before_update,step9_c_update_ok,step9_c_update_reason,action_code,action_name,moved,dry_run,ch1_distance,ch2_distance,overlay_path,frame_path,b_mask_path,color_mask_path,a_mask_path,b_mask_path,c_mask_path,c_raw_mask_path
1,2026-06-27 21:25:03,True,False,moving,489.29487179487177,375.53365384615387,494.118,403.529,4.823128205128228,27.99534615384613,10.0,624,5886,18914,dynamic_sam2,7332,500.72545008183306,391.08674304418986,True,True,ok,-20,下,True,False,20.0,20.0,measurement_output\step9_color_center_align\run_20260627_212017_558\overlays\step9_cycle_0001_20260627_212458_761_action_-20_overlay.png,measurement_output\step9_color_center_align\run_20260627_212017_558\frames\step9_cycle_0001_20260627_212458_761_action_-20_frame.png,measurement_output\step9_color_center_align\run_20260627_212017_558\ab_masks\step9_cycle_0001_20260627_212458_761_action_-20_b_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\masks\step9_cycle_0001_20260627_212458_761_action_-20_color_region_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\ab_masks\step9_cycle_0001_20260627_212458_761_action_-20_a_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\ab_masks\step9_cycle_0001_20260627_212458_761_action_-20_b_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\c_masks\step9_cycle_0001_20260627_212458_761_action_-20_current_c_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\c_masks\step9_cycle_0001_20260627_212458_761_action_-20_current_c_raw_mask.png
2,2026-06-27 21:25:07,True,False,moving,508.2680577849117,366.29695024077046,494.118,403.529,-14.150057784911724,37.23204975922954,10.0,623,6018,18992,dynamic_sam2,7112,518.75,380.02390326209223,True,True,ok,-1,右上,True,False,-20.0,0.0,measurement_output\step9_color_center_align\run_20260627_212017_558\overlays\step9_cycle_0002_20260627_212504_927_action_-1_overlay.png,measurement_output\step9_color_center_align\run_20260627_212017_558\frames\step9_cycle_0002_20260627_212504_927_action_-1_frame.png,measurement_output\step9_color_center_align\run_20260627_212017_558\ab_masks\step9_cycle_0002_20260627_212504_927_action_-1_b_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\masks\step9_cycle_0002_20260627_212504_927_action_-1_color_region_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\ab_masks\step9_cycle_0002_20260627_212504_927_action_-1_a_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\ab_masks\step9_cycle_0002_20260627_212504_927_action_-1_b_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\c_masks\step9_cycle_0002_20260627_212504_927_action_-1_current_c_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\c_masks\step9_cycle_0002_20260627_212504_927_action_-1_current_c_raw_mask.png
3,2026-06-27 21:25:11,True,False,moving,509.192429022082,365.9968454258675,494.118,403.529,-15.074429022082029,37.532154574132505,10.0,634,5913,18834,dynamic_sam2,14280,519.5,378.0,True,True,ok,-1,右上,True,False,-20.0,0.0,measurement_output\step9_color_center_align\run_20260627_212017_558\overlays\step9_cycle_0003_20260627_212508_613_action_-1_overlay.png,measurement_output\step9_color_center_align\run_20260627_212017_558\frames\step9_cycle_0003_20260627_212508_613_action_-1_frame.png,measurement_output\step9_color_center_align\run_20260627_212017_558\ab_masks\step9_cycle_0003_20260627_212508_613_action_-1_b_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\masks\step9_cycle_0003_20260627_212508_613_action_-1_color_region_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\ab_masks\step9_cycle_0003_20260627_212508_613_action_-1_a_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\ab_masks\step9_cycle_0003_20260627_212508_613_action_-1_b_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\c_masks\step9_cycle_0003_20260627_212508_613_action_-1_current_c_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\c_masks\step9_cycle_0003_20260627_212508_613_action_-1_current_c_raw_mask.png
4,2026-06-27 21:25:14,True,False,moving,510.6602564102564,364.67788461538464,494.118,403.529,-16.542256410256414,38.851115384615355,10.0,624,6052,18962,dynamic_sam2,8431,526.2040090143518,372.9284782350848,True,True,ok,-1,右上,True,False,-20.0,0.0,measurement_output\step9_color_center_align\run_20260627_212017_558\overlays\step9_cycle_0004_20260627_212512_330_action_-1_overlay.png,measurement_output\step9_color_center_align\run_20260627_212017_558\frames\step9_cycle_0004_20260627_212512_330_action_-1_frame.png,measurement_output\step9_color_center_align\run_20260627_212017_558\ab_masks\step9_cycle_0004_20260627_212512_330_action_-1_b_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\masks\step9_cycle_0004_20260627_212512_330_action_-1_color_region_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\ab_masks\step9_cycle_0004_20260627_212512_330_action_-1_a_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\ab_masks\step9_cycle_0004_20260627_212512_330_action_-1_b_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\c_masks\step9_cycle_0004_20260627_212512_330_action_-1_current_c_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\c_masks\step9_cycle_0004_20260627_212512_330_action_-1_current_c_raw_mask.png
5,2026-06-27 21:25:18,True,False,moving,512.31,363.8833333333333,494.118,403.529,-18.19199999999995,39.64566666666667,10.0,600,5955,18854,dynamic_sam2,8528,528.2424953095684,371.4291744840525,True,True,ok,-1,右上,True,False,-20.0,0.0,measurement_output\step9_color_center_align\run_20260627_212017_558\overlays\step9_cycle_0005_20260627_212516_124_action_-1_overlay.png,measurement_output\step9_color_center_align\run_20260627_212017_558\frames\step9_cycle_0005_20260627_212516_124_action_-1_frame.png,measurement_output\step9_color_center_align\run_20260627_212017_558\ab_masks\step9_cycle_0005_20260627_212516_124_action_-1_b_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\masks\step9_cycle_0005_20260627_212516_124_action_-1_color_region_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\ab_masks\step9_cycle_0005_20260627_212516_124_action_-1_a_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\ab_masks\step9_cycle_0005_20260627_212516_124_action_-1_b_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\c_masks\step9_cycle_0005_20260627_212516_124_action_-1_current_c_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\c_masks\step9_cycle_0005_20260627_212516_124_action_-1_current_c_raw_mask.png
6,2026-06-27 21:25:22,True,False,moving,513.5127388535032,362.4251592356688,494.118,403.529,-19.394738853503156,41.10384076433121,10.0,628,6014,18798,dynamic_sam2,7960,527.9384422110553,371.16934673366836,True,True,ok,-1,右上,True,False,-20.0,0.0,measurement_output\step9_color_center_align\run_20260627_212017_558\overlays\step9_cycle_0006_20260627_212519_723_action_-1_overlay.png,measurement_output\step9_color_center_align\run_20260627_212017_558\frames\step9_cycle_0006_20260627_212519_723_action_-1_frame.png,measurement_output\step9_color_center_align\run_20260627_212017_558\ab_masks\step9_cycle_0006_20260627_212519_723_action_-1_b_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\masks\step9_cycle_0006_20260627_212519_723_action_-1_color_region_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\ab_masks\step9_cycle_0006_20260627_212519_723_action_-1_a_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\ab_masks\step9_cycle_0006_20260627_212519_723_action_-1_b_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\c_masks\step9_cycle_0006_20260627_212519_723_action_-1_current_c_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\c_masks\step9_cycle_0006_20260627_212519_723_action_-1_current_c_raw_mask.png
7,2026-06-27 21:25:26,True,False,moving,515.3114503816794,362.14961832061067,494.118,403.529,-21.193450381679384,41.379381679389326,10.0,655,5922,18862,dynamic_sam2,8310,528.9922984356198,369.7936221419976,True,True,ok,-1,右上,True,False,-20.0,0.0,measurement_output\step9_color_center_align\run_20260627_212017_558\overlays\step9_cycle_0007_20260627_212523_519_action_-1_overlay.png,measurement_output\step9_color_center_align\run_20260627_212017_558\frames\step9_cycle_0007_20260627_212523_519_action_-1_frame.png,measurement_output\step9_color_center_align\run_20260627_212017_558\ab_masks\step9_cycle_0007_20260627_212523_519_action_-1_b_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\masks\step9_cycle_0007_20260627_212523_519_action_-1_color_region_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\ab_masks\step9_cycle_0007_20260627_212523_519_action_-1_a_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\ab_masks\step9_cycle_0007_20260627_212523_519_action_-1_b_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\c_masks\step9_cycle_0007_20260627_212523_519_action_-1_current_c_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\c_masks\step9_cycle_0007_20260627_212523_519_action_-1_current_c_raw_mask.png
8,2026-06-27 21:25:29,True,False,moving,517.1652613827994,360.50590219224284,494.118,403.529,-23.047261382799377,43.02309780775715,10.0,593,5876,18840,dynamic_sam2,14399,528.0,373.0,True,True,ok,-1,右上,True,False,-20.0,0.0,measurement_output\step9_color_center_align\run_20260627_212017_558\overlays\step9_cycle_0008_20260627_212527_182_action_-1_overlay.png,measurement_output\step9_color_center_align\run_20260627_212017_558\frames\step9_cycle_0008_20260627_212527_182_action_-1_frame.png,measurement_output\step9_color_center_align\run_20260627_212017_558\ab_masks\step9_cycle_0008_20260627_212527_182_action_-1_b_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\masks\step9_cycle_0008_20260627_212527_182_action_-1_color_region_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\ab_masks\step9_cycle_0008_20260627_212527_182_action_-1_a_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\ab_masks\step9_cycle_0008_20260627_212527_182_action_-1_b_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\c_masks\step9_cycle_0008_20260627_212527_182_action_-1_current_c_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\c_masks\step9_cycle_0008_20260627_212527_182_action_-1_current_c_raw_mask.png
9,2026-06-27 21:25:33,True,False,moving,519.0636942675159,359.8710191082803,494.118,403.529,-24.945694267515876,43.65798089171972,10.0,628,5933,18832,dynamic_sam2,8420,532.8827790973871,368.06448931116387,True,True,ok,-1,右上,True,False,-20.0,0.0,measurement_output\step9_color_center_align\run_20260627_212017_558\overlays\step9_cycle_0009_20260627_212530_918_action_-1_overlay.png,measurement_output\step9_color_center_align\run_20260627_212017_558\frames\step9_cycle_0009_20260627_212530_918_action_-1_frame.png,measurement_output\step9_color_center_align\run_20260627_212017_558\ab_masks\step9_cycle_0009_20260627_212530_918_action_-1_b_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\masks\step9_cycle_0009_20260627_212530_918_action_-1_color_region_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\ab_masks\step9_cycle_0009_20260627_212530_918_action_-1_a_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\ab_masks\step9_cycle_0009_20260627_212530_918_action_-1_b_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\c_masks\step9_cycle_0009_20260627_212530_918_action_-1_current_c_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\c_masks\step9_cycle_0009_20260627_212530_918_action_-1_current_c_raw_mask.png
10,2026-06-27 21:25:37,True,False,moving,520.6826625386997,358.3204334365325,494.118,403.529,-26.56466253869968,45.208566563467514,10.0,646,5882,18761,dynamic_sam2,10181,530.506728219232,353.66083881740497,True,True,ok,-1,右上,True,False,-20.0,0.0,measurement_output\step9_color_center_align\run_20260627_212017_558\overlays\step9_cycle_0010_20260627_212534_605_action_-1_overlay.png,measurement_output\step9_color_center_align\run_20260627_212017_558\frames\step9_cycle_0010_20260627_212534_605_action_-1_frame.png,measurement_output\step9_color_center_align\run_20260627_212017_558\ab_masks\step9_cycle_0010_20260627_212534_605_action_-1_b_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\masks\step9_cycle_0010_20260627_212534_605_action_-1_color_region_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\ab_masks\step9_cycle_0010_20260627_212534_605_action_-1_a_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\ab_masks\step9_cycle_0010_20260627_212534_605_action_-1_b_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\c_masks\step9_cycle_0010_20260627_212534_605_action_-1_current_c_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\c_masks\step9_cycle_0010_20260627_212534_605_action_-1_current_c_raw_mask.png
