source_csv,output_dir,ok,reason,x_column,y_column,n_points,fit_x_min,fit_x_max,y0,z,w,c,peak_height_z_over_w,r2,rmse,curve_csv,params_json,plot_png
E:\jupyter file\2_Optics\8821L\Utils\AutoZoom\lorenzt\光谱\cycle_0038_201332_377_spectrum.csv,E:\jupyter file\2_Optics\8821L\Utils\AutoZoom\lorenzt\光谱\lorentz_fit_output\cycle_0038_201332_377_spectrum,True,ok,wavelength,median_filtered_y,347,510.003,521.972,1114.8024824605845,67.75925714600996,0.892058160859145,516.3372943526069,75.95834007140378,0.8612004702649902,6.539933487197425,E:\jupyter file\2_Optics\8821L\Utils\AutoZoom\lorenzt\光谱\lorentz_fit_output\cycle_0038_201332_377_spectrum\cycle_0038_201332_377_spectrum_lorentz_fit_curve.csv,E:\jupyter file\2_Optics\8821L\Utils\AutoZoom\lorenzt\光谱\lorentz_fit_output\cycle_0038_201332_377_spectrum\cycle_0038_201332_377_spectrum_lorentz_fit_params.json,E:\jupyter file\2_Optics\8821L\Utils\AutoZoom\lorenzt\光谱\lorentz_fit_output\cycle_0038_201332_377_spectrum\cycle_0038_201332_377_spectrum_lorentz_fit.png
E:\jupyter file\2_Optics\8821L\Utils\AutoZoom\lorenzt\光谱\cycle_0039_201503_271_spectrum.csv,E:\jupyter file\2_Optics\8821L\Utils\AutoZoom\lorenzt\光谱\lorentz_fit_output\cycle_0039_201503_271_spectrum,True,ok,wavelength,median_filtered_y,347,510.003,521.972,1113.10197956045,70.36572825893766,0.8728148398495271,516.2316785764498,80.61930783746605,0.8909401788457165,5.999129017034375,E:\jupyter file\2_Optics\8821L\Utils\AutoZoom\lorenzt\光谱\lorentz_fit_output\cycle_0039_201503_271_spectrum\cycle_0039_201503_271_spectrum_lorentz_fit_curve.csv,E:\jupyter file\2_Optics\8821L\Utils\AutoZoom\lorenzt\光谱\lorentz_fit_output\cycle_0039_201503_271_spectrum\cycle_0039_201503_271_spectrum_lorentz_fit_params.json,E:\jupyter file\2_Optics\8821L\Utils\AutoZoom\lorenzt\光谱\lorentz_fit_output\cycle_0039_201503_271_spectrum\cycle_0039_201503_271_spectrum_lorentz_fit.png
E:\jupyter file\2_Optics\8821L\Utils\AutoZoom\lorenzt\光谱\cycle_0040_201619_052_spectrum.csv,E:\jupyter file\2_Optics\8821L\Utils\AutoZoom\lorenzt\光谱\lorentz_fit_output\cycle_0040_201619_052_spectrum,True,ok,wavelength,median_filtered_y,347,510.003,521.972,1111.7008706316808,69.13535201997661,0.9239056683397496,516.3240020529615,74.82944892438232,0.8601356189204036,6.557367980957464,E:\jupyter file\2_Optics\8821L\Utils\AutoZoom\lorenzt\光谱\lorentz_fit_output\cycle_0040_201619_052_spectrum\cycle_0040_201619_052_spectrum_lorentz_fit_curve.csv,E:\jupyter file\2_Optics\8821L\Utils\AutoZoom\lorenzt\光谱\lorentz_fit_output\cycle_0040_201619_052_spectrum\cycle_0040_201619_052_spectrum_lorentz_fit_params.json,E:\jupyter file\2_Optics\8821L\Utils\AutoZoom\lorenzt\光谱\lorentz_fit_output\cycle_0040_201619_052_spectrum\cycle_0040_201619_052_spectrum_lorentz_fit.png
E:\jupyter file\2_Optics\8821L\Utils\AutoZoom\lorenzt\光谱\cycle_0041_201651_861_spectrum.csv,E:\jupyter file\2_Optics\8821L\Utils\AutoZoom\lorenzt\光谱\lorentz_fit_output\cycle_0041_201651_861_spectrum,True,ok,wavelength,median_filtered_y,347,510.003,521.972,1113.2216262787542,66.26417724605332,0.8843611934196114,516.3170645593246,74.9288613511248,0.8780549159512885,5.968910076575683,E:\jupyter file\2_Optics\8821L\Utils\AutoZoom\lorenzt\光谱\lorentz_fit_output\cycle_0041_201651_861_spectrum\cycle_0041_201651_861_spectrum_lorentz_fit_curve.csv,E:\jupyter file\2_Optics\8821L\Utils\AutoZoom\lorenzt\光谱\lorentz_fit_output\cycle_0041_201651_861_spectrum\cycle_0041_201651_861_spectrum_lorentz_fit_params.json,E:\jupyter file\2_Optics\8821L\Utils\AutoZoom\lorenzt\光谱\lorentz_fit_output\cycle_0041_201651_861_spectrum\cycle_0041_201651_861_spectrum_lorentz_fit.png
E:\jupyter file\2_Optics\8821L\Utils\AutoZoom\lorenzt\光谱\cycle_0042_201801_515_spectrum.csv,E:\jupyter file\2_Optics\8821L\Utils\AutoZoom\lorenzt\光谱\lorentz_fit_output\cycle_0042_201801_515_spectrum,True,ok,wavelength,median_filtered_y,347,510.003,521.972,1112.1223315314073,72.47864058417497,0.9508315324146255,516.2627881974673,76.22658495571378,0.8881428699926626,5.94177393963616,E:\jupyter file\2_Optics\8821L\Utils\AutoZoom\lorenzt\光谱\lorentz_fit_output\cycle_0042_201801_515_spectrum\cycle_0042_201801_515_spectrum_lorentz_fit_curve.csv,E:\jupyter file\2_Optics\8821L\Utils\AutoZoom\lorenzt\光谱\lorentz_fit_output\cycle_0042_201801_515_spectrum\cycle_0042_201801_515_spectrum_lorentz_fit_params.json,E:\jupyter file\2_Optics\8821L\Utils\AutoZoom\lorenzt\光谱\lorentz_fit_output\cycle_0042_201801_515_spectrum\cycle_0042_201801_515_spectrum_lorentz_fit.png
E:\jupyter file\2_Optics\8821L\Utils\AutoZoom\lorenzt\光谱\cycle_0043_201835_662_spectrum.csv,E:\jupyter file\2_Optics\8821L\Utils\AutoZoom\lorenzt\光谱\lorentz_fit_output\cycle_0043_201835_662_spectrum,True,ok,wavelength,median_filtered_y,347,510.003,521.972,1113.6411587643215,66.180013368008,0.9785762102925003,516.2789440387143,67.62888027722086,0.8493284769698266,6.323133310257899,E:\jupyter file\2_Optics\8821L\Utils\AutoZoom\lorenzt\光谱\lorentz_fit_output\cycle_0043_201835_662_spectrum\cycle_0043_201835_662_spectrum_lorentz_fit_curve.csv,E:\jupyter file\2_Optics\8821L\Utils\AutoZoom\lorenzt\光谱\lorentz_fit_output\cycle_0043_201835_662_spectrum\cycle_0043_201835_662_spectrum_lorentz_fit_params.json,E:\jupyter file\2_Optics\8821L\Utils\AutoZoom\lorenzt\光谱\lorentz_fit_output\cycle_0043_201835_662_spectrum\cycle_0043_201835_662_spectrum_lorentz_fit.png
E:\jupyter file\2_Optics\8821L\Utils\AutoZoom\lorenzt\光谱\cycle_0044_201910_288_spectrum.csv,E:\jupyter file\2_Optics\8821L\Utils\AutoZoom\lorenzt\光谱\lorentz_fit_output\cycle_0044_201910_288_spectrum,True,ok,wavelength,median_filtered_y,347,510.003,521.972,1111.570138579134,148.75741639580718,1.0535661906360043,516.3425788969981,141.19418192985773,0.9328751028391504,8.634999667122312,E:\jupyter file\2_Optics\8821L\Utils\AutoZoom\lorenzt\光谱\lorentz_fit_output\cycle_0044_201910_288_spectrum\cycle_0044_201910_288_spectrum_lorentz_fit_curve.csv,E:\jupyter file\2_Optics\8821L\Utils\AutoZoom\lorenzt\光谱\lorentz_fit_output\cycle_0044_201910_288_spectrum\cycle_0044_201910_288_spectrum_lorentz_fit_params.json,E:\jupyter file\2_Optics\8821L\Utils\AutoZoom\lorenzt\光谱\lorentz_fit_output\cycle_0044_201910_288_spectrum\cycle_0044_201910_288_spectrum_lorentz_fit.png
E:\jupyter file\2_Optics\8821L\Utils\AutoZoom\lorenzt\光谱\cycle_0045_201940_709_spectrum.csv,E:\jupyter file\2_Optics\8821L\Utils\AutoZoom\lorenzt\光谱\lorentz_fit_output\cycle_0045_201940_709_spectrum,True,ok,wavelength,median_filtered_y,347,510.003,521.972,1114.2016541463777,149.2014338314644,0.9287910787021998,516.248764093132,160.64046829556509,0.9384840247546257,8.955000220158997,E:\jupyter file\2_Optics\8821L\Utils\AutoZoom\lorenzt\光谱\lorentz_fit_output\cycle_0045_201940_709_spectrum\cycle_0045_201940_709_spectrum_lorentz_fit_curve.csv,E:\jupyter file\2_Optics\8821L\Utils\AutoZoom\lorenzt\光谱\lorentz_fit_output\cycle_0045_201940_709_spectrum\cycle_0045_201940_709_spectrum_lorentz_fit_params.json,E:\jupyter file\2_Optics\8821L\Utils\AutoZoom\lorenzt\光谱\lorentz_fit_output\cycle_0045_201940_709_spectrum\cycle_0045_201940_709_spectrum_lorentz_fit.png
E:\jupyter file\2_Optics\8821L\Utils\AutoZoom\lorenzt\光谱\cycle_0046_202012_953_spectrum.csv,E:\jupyter file\2_Optics\8821L\Utils\AutoZoom\lorenzt\光谱\lorentz_fit_output\cycle_0046_202012_953_spectrum,True,ok,wavelength,median_filtered_y,347,510.003,521.972,1115.4182704539796,158.92830213724963,1.0781151745981878,516.3524468708976,147.41310194106302,0.9167941534439898,10.20788844099474,E:\jupyter file\2_Optics\8821L\Utils\AutoZoom\lorenzt\光谱\lorentz_fit_output\cycle_0046_202012_953_spectrum\cycle_0046_202012_953_spectrum_lorentz_fit_curve.csv,E:\jupyter file\2_Optics\8821L\Utils\AutoZoom\lorenzt\光谱\lorentz_fit_output\cycle_0046_202012_953_spectrum\cycle_0046_202012_953_spectrum_lorentz_fit_params.json,E:\jupyter file\2_Optics\8821L\Utils\AutoZoom\lorenzt\光谱\lorentz_fit_output\cycle_0046_202012_953_spectrum\cycle_0046_202012_953_spectrum_lorentz_fit.png
E:\jupyter file\2_Optics\8821L\Utils\AutoZoom\lorenzt\光谱\cycle_0047_202201_947_spectrum.csv,E:\jupyter file\2_Optics\8821L\Utils\AutoZoom\lorenzt\光谱\lorentz_fit_output\cycle_0047_202201_947_spectrum,True,ok,wavelength,median_filtered_y,347,510.003,521.972,1113.6697689624705,135.38235458907408,0.9959848555846013,516.1914241992104,135.9281256436478,0.920611912730647,8.917749994357543,E:\jupyter file\2_Optics\8821L\Utils\AutoZoom\lorenzt\光谱\lorentz_fit_output\cycle_0047_202201_947_spectrum\cycle_0047_202201_947_spectrum_lorentz_fit_curve.csv,E:\jupyter file\2_Optics\8821L\Utils\AutoZoom\lorenzt\光谱\lorentz_fit_output\cycle_0047_202201_947_spectrum\cycle_0047_202201_947_spectrum_lorentz_fit_params.json,E:\jupyter file\2_Optics\8821L\Utils\AutoZoom\lorenzt\光谱\lorentz_fit_output\cycle_0047_202201_947_spectrum\cycle_0047_202201_947_spectrum_lorentz_fit.png
