index,wavelength,raw_y,threshold_filtered_y,median_filtered_y,angle_deg
0,498.215,1091.0,1091.0,1098.0,58.056537985207456
1,498.25,1112.0,1112.0,1101.0,58.056537985207456
2,498.285,1098.0,1098.0,1104.0,58.056537985207456
3,498.32,1104.0,1104.0,1104.0,58.056537985207456
4,498.355,1112.0,1112.0,1098.0,58.056537985207456
5,498.39,1097.0,1097.0,1097.0,58.056537985207456
6,498.425,1095.0,1095.0,1097.0,58.056537985207456
7,498.46,1092.0,1092.0,1097.0,58.056537985207456
8,498.495,1100.0,1100.0,1100.0,58.056537985207456
9,498.53,1102.0,1102.0,1100.0,58.056537985207456
10,498.565,1107.0,1107.0,1102.0,58.056537985207456
11,498.6,1097.0,1097.0,1107.0,58.056537985207456
12,498.635,1110.0,1110.0,1107.0,58.056537985207456
13,498.67,1109.0,1109.0,1105.0,58.056537985207456
14,498.705,1101.0,1101.0,1108.0,58.056537985207456
15,498.74,1105.0,1105.0,1105.0,58.056537985207456
16,498.775,1108.0,1108.0,1105.0,58.056537985207456
17,498.81,1098.0,1098.0,1105.0,58.056537985207456
18,498.845,1114.0,1114.0,1108.0,58.056537985207456
19,498.88,1100.0,1100.0,1105.0,58.056537985207456
20,498.915,1108.0,1108.0,1105.0,58.056537985207456
21,498.95,1105.0,1105.0,1100.0,58.056537985207456
22,498.985,1093.0,1093.0,1103.0,58.056537985207456
23,499.02,1093.0,1093.0,1103.0,58.056537985207456
24,499.055,1103.0,1103.0,1103.0,58.056537985207456
25,499.09,1110.0,1110.0,1103.0,58.056537985207456
26,499.125,1103.0,1103.0,1110.0,58.056537985207456
27,499.16,1113.0,1113.0,1113.0,58.056537985207456
28,499.195,1158.0,1158.0,1113.0,58.056537985207456
29,499.23,1118.0,1118.0,1118.0,58.056537985207456
30,499.265,1104.0,1104.0,1118.0,58.056537985207456
31,499.3,1124.0,1124.0,1116.0,58.056537985207456
32,499.335,1108.0,1108.0,1108.0,58.056537985207456
33,499.37,1116.0,1116.0,1108.0,58.056537985207456
34,499.405,1098.0,1098.0,1108.0,58.056537985207456
35,499.44,1105.0,1105.0,1105.0,58.056537985207456
36,499.475,1112.0,1112.0,1101.0,58.056537985207456
37,499.51,1097.0,1097.0,1105.0,58.056537985207456
38,499.545,1101.0,1101.0,1103.0,58.056537985207456
39,499.58,1105.0,1105.0,1101.0,58.056537985207456
40,499.615,1103.0,1103.0,1103.0,58.056537985207456
41,499.65,1099.0,1099.0,1103.0,58.056537985207456
42,499.685,1105.0,1105.0,1100.0,58.056537985207456
43,499.72,1100.0,1100.0,1099.0,58.056537985207456
44,499.755,1099.0,1099.0,1099.0,58.056537985207456
45,499.79,1094.0,1094.0,1099.0,58.056537985207456
46,499.825,1094.0,1094.0,1099.0,58.056537985207456
47,499.86,1111.0,1111.0,1104.0,58.056537985207456
48,499.894,1106.0,1106.0,1106.0,58.056537985207456
49,499.929,1104.0,1104.0,1111.0,58.056537985207456
50,499.964,1115.0,1115.0,1115.0,58.056537985207456
51,499.999,1122.0,1122.0,1115.0,58.056537985207456
52,500.034,1117.0,1117.0,1115.0,58.056537985207456
53,500.069,1105.0,1105.0,1105.0,58.056537985207456
54,500.104,1101.0,1101.0,1105.0,58.056537985207456
55,500.139,1099.0,1099.0,1105.0,58.056537985207456
56,500.174,1106.0,1106.0,1101.0,58.056537985207456
57,500.209,1115.0,1115.0,1106.0,58.056537985207456
58,500.244,1096.0,1096.0,1106.0,58.056537985207456
59,500.279,1120.0,1120.0,1111.0,58.056537985207456
60,500.314,1099.0,1099.0,1111.0,58.056537985207456
61,500.349,1111.0,1111.0,1114.0,58.056537985207456
62,500.384,1117.0,1117.0,1114.0,58.056537985207456
63,500.419,1114.0,1114.0,1114.0,58.056537985207456
64,500.454,1118.0,1118.0,1114.0,58.056537985207456
65,500.489,1107.0,1107.0,1113.0,58.056537985207456
66,500.524,1112.0,1112.0,1112.0,58.056537985207456
67,500.559,1113.0,1113.0,1112.0,58.056537985207456
68,500.594,1101.0,1101.0,1112.0,58.056537985207456
69,500.629,1123.0,1123.0,1107.0,58.056537985207456
70,500.664,1107.0,1107.0,1107.0,58.056537985207456
71,500.699,1103.0,1103.0,1108.0,58.056537985207456
