index,wavelength,raw_y,threshold_filtered_y,median_filtered_y,angle_deg
0,498.215,1112.0,1112.0,1100.0,-78.99718256450576
1,498.25,1100.0,1100.0,1105.5,-78.99718256450576
2,498.285,1099.0,1099.0,1100.0,-78.99718256450576
3,498.32,1111.0,1111.0,1099.0,-78.99718256450576
4,498.355,1098.0,1098.0,1098.0,-78.99718256450576
5,498.39,1097.0,1097.0,1098.0,-78.99718256450576
6,498.425,1095.0,1095.0,1098.0,-78.99718256450576
7,498.46,1104.0,1104.0,1099.0,-78.99718256450576
8,498.495,1103.0,1103.0,1103.0,-78.99718256450576
9,498.53,1099.0,1099.0,1103.0,-78.99718256450576
10,498.565,1114.0,1114.0,1103.0,-78.99718256450576
11,498.6,1101.0,1101.0,1107.0,-78.99718256450576
12,498.635,1122.0,1122.0,1107.0,-78.99718256450576
13,498.67,1107.0,1107.0,1104.0,-78.99718256450576
14,498.705,1104.0,1104.0,1107.0,-78.99718256450576
15,498.74,1099.0,1099.0,1104.0,-78.99718256450576
16,498.775,1110.0,1110.0,1104.0,-78.99718256450576
17,498.81,1103.0,1103.0,1103.0,-78.99718256450576
18,498.845,1108.0,1108.0,1103.0,-78.99718256450576
19,498.88,1088.0,1088.0,1103.0,-78.99718256450576
20,498.915,1102.0,1102.0,1102.0,-78.99718256450576
21,498.95,1104.0,1104.0,1097.0,-78.99718256450576
22,498.985,1097.0,1097.0,1102.0,-78.99718256450576
23,499.02,1096.0,1096.0,1103.0,-78.99718256450576
24,499.055,1103.0,1103.0,1103.0,-78.99718256450576
25,499.09,1122.0,1122.0,1103.0,-78.99718256450576
26,499.125,1103.0,1103.0,1111.0,-78.99718256450576
27,499.16,1111.0,1111.0,1111.0,-78.99718256450576
28,499.195,1146.0,1146.0,1110.0,-78.99718256450576
29,499.23,1110.0,1110.0,1110.0,-78.99718256450576
30,499.265,1091.0,1091.0,1110.0,-78.99718256450576
31,499.3,1107.0,1107.0,1107.0,-78.99718256450576
32,499.335,1116.0,1116.0,1107.0,-78.99718256450576
33,499.37,1107.0,1107.0,1107.0,-78.99718256450576
34,499.405,1118.0,1118.0,1107.0,-78.99718256450576
35,499.44,1106.0,1106.0,1106.0,-78.99718256450576
36,499.475,1094.0,1094.0,1106.0,-78.99718256450576
37,499.51,1093.0,1093.0,1106.0,-78.99718256450576
38,499.545,1112.0,1112.0,1101.0,-78.99718256450576
39,499.58,1113.0,1113.0,1112.0,-78.99718256450576
40,499.615,1101.0,1101.0,1113.0,-78.99718256450576
41,499.65,1114.0,1114.0,1113.0,-78.99718256450576
42,499.685,1116.0,1116.0,1107.0,-78.99718256450576
43,499.72,1107.0,1107.0,1107.0,-78.99718256450576
44,499.755,1090.0,1090.0,1099.0,-78.99718256450576
