x,y,lorentz_fit_y,residual
498.215,1098,,
498.25,1099,,
498.285,1100,,
498.32,1106,,
498.355,1106,,
498.39,1106,,
498.425,1104,,
498.46,1104,,
498.495,1104,,
498.53,1108,,
498.565,1109,,
498.6,1112,,
498.635,1113,,
498.67,1113,,
498.705,1112,,
498.74,1109,,
498.775,1109,,
498.81,1108,,
498.845,1109,,
498.88,1116,,
498.915,1116,,
498.95,1107,,
498.985,1112,,
499.02,1112,,
499.055,1108,,
499.09,1112,,
499.125,1115,,
499.16,1115,,
499.195,1115,,
499.23,1116,,
499.265,1117,,
499.3,1116,,
499.335,1116,,
499.37,1111,,
499.405,1111,,
499.44,1111,,
499.475,1114,,
499.51,1133,,
499.545,1133,,
499.58,1133,,
499.615,1111,,
499.65,1111,,
499.685,1111,,
499.72,1112,,
499.755,1114,,
499.79,1114,,
499.825,1115,,
499.86,1115,,
499.894,1110,,
499.929,1108,,
499.964,1108,,
499.999,1108,,
500.034,1109,,
500.069,1113,,
500.104,1113,,
500.139,1113,,
500.174,1113,,
500.209,1115,,
500.244,1115,,
500.279,1109,,
500.314,1111,,
500.349,1109,,
500.384,1108,,
500.419,1108,,
500.454,1110,,
500.489,1110,,
500.524,1110,,
500.559,1110,,
500.594,1113,,
500.629,1111,,
500.664,1111,,
500.699,1113,,
500.734,1116,,
500.768,1117,,
500.803,1117,,
500.838,1115,,
500.873,1117,,
500.908,1115,,
500.943,1104,,
500.978,1104,,
501.013,1110,,
501.048,1107,,
501.083,1107,,
501.118,1109,,
501.153,1109,,
501.188,1109,,
501.223,1116,,
501.258,1116,,
501.293,1116,,
501.328,1112,,
501.362,1110,,
501.397,1103,,
501.432,1100,,
501.467,1100,,
501.502,1100,,
501.537,1100,,
501.572,1102,,
501.607,1102,,
501.642,1100,,
501.677,1105,,
501.712,1111,,
501.747,1111,,
501.782,1113,,
501.817,1113,,
501.852,1113,,
501.886,1108,,
501.921,1108,,
501.956,1104,,
501.991,1103,,
502.026,1104,,
502.061,1104,,
502.096,1104,,
502.131,1103,,
502.166,1103,,
502.201,1103,,
502.236,1103,,
502.271,1103,,
502.305,1103,,
502.34,1109,,
502.375,1109,,
502.41,1104,,
502.445,1104,,
502.48,1104,,
502.515,1103,,
502.55,1104,,
502.585,1107,,
502.62,1113,,
502.655,1113,,
502.69,1113,,
502.724,1113,,
502.759,1113,,
502.794,1113,,
502.829,1114,,
502.864,1114,,
502.899,1114,,
502.934,1110,,
502.969,1108,,
503.004,1108,,
503.039,1108,,
503.073,1108,,
503.108,1108,,
503.143,1110,,
503.178,1109,,
503.213,1106,,
503.248,1106,,
503.283,1109,,
503.318,1105,,
503.353,1105,,
503.388,1111,,
503.422,1111,,
503.457,1111,,
503.492,1114,,
503.527,1112,,
503.562,1111,,
503.597,1112,,
503.632,1112,,
503.667,1112,,
503.702,1115,,
503.736,1115,,
503.771,1110,,
503.806,1119,,
503.841,1114,,
503.876,1114,,
503.911,1114,,
503.946,1114,,
503.981,1114,,
504.015,1116,,
504.05,1122,,
504.085,1122,,
504.12,1122,,
504.155,1116,,
504.19,1116,,
504.225,1114,,
504.26,1114,,
504.294,1114,,
504.329,1111,,
504.364,1108,,
504.399,1108,,
504.434,1106,,
504.469,1106,,
504.504,1106,,
504.539,1107,,
504.573,1107,,
504.608,1107,,
504.643,1107,,
504.678,1107,,
504.713,1118,,
504.748,1119,,
504.783,1121,,
504.817,1124,,
504.852,1124,,
504.887,1125,,
504.922,1124,,
504.957,1120,,
504.992,1120,,
505.027,1120,,
505.061,1120,,
505.096,1117,,
505.131,1115,,
505.166,1115,,
505.201,1118,,
505.236,1118,,
505.271,1118,,
505.305,1119,,
505.34,1119,,
505.375,1119,,
505.41,1111,,
505.445,1115,,
505.48,1115,,
505.514,1115,,
505.549,1115,,
505.584,1119,,
505.619,1119,,
505.654,1119,,
505.689,1119,,
505.724,1116,,
505.758,1115,,
505.793,1116,,
505.828,1116,,
505.863,1116,,
505.898,1115,,
505.933,1118,,
505.967,1112,,
506.002,1112,,
506.037,1116,,
506.072,1116,,
506.107,1116,,
506.142,1116,,
506.176,1116,,
506.211,1117,,
506.246,1117,,
506.281,1117,,
506.316,1117,,
506.35,1123,,
506.385,1116,,
506.42,1123,,
506.455,1123,,
506.49,1123,,
506.525,1122,,
506.559,1122,,
506.594,1116,,
506.629,1115,,
506.664,1115,,
506.699,1115,,
506.734,1115,,
506.768,1108,,
506.803,1117,,
506.838,1117,,
506.873,1107,,
506.908,1117,,
506.942,1122,,
506.977,1124,,
507.012,1122,,
507.047,1122,,
507.082,1113,,
507.116,1113,,
507.151,1113,,
507.186,1113,,
507.221,1117,,
507.256,1117,,
507.29,1117,,
507.325,1117,,
507.36,1120,,
507.395,1115,,
507.43,1121,,
507.464,1122,,
507.499,1122,,
507.534,1127,,
507.569,1129,,
507.604,1129,,
507.638,1129,,
507.673,1128,,
507.708,1119,,
507.743,1118,,
507.778,1118,,
507.812,1113,,
507.847,1113,,
507.882,1115,,
507.917,1115,,
507.952,1115,,
507.986,1117,,
508.021,1118,,
508.056,1122,,
508.091,1125,,
508.126,1122,,
508.16,1122,,
508.195,1125,,
508.23,1116,,
508.265,1116,,
508.299,1116,,
508.334,1117,,
508.369,1117,,
508.404,1117,,
508.439,1121,,
508.473,1121,,
508.508,1121,,
508.543,1119,,
508.578,1119,,
508.612,1119,,
508.647,1119,,
508.682,1117,,
508.717,1116,,
508.752,1116,,
508.786,1116,,
508.821,1121,,
508.856,1121,,
508.891,1121,,
508.925,1119,,
508.96,1118,,
508.995,1118,,
509.03,1114,,
509.064,1114,,
509.099,1114,,
509.134,1114,,
509.169,1114,,
509.203,1118,,
509.238,1117,,
509.273,1120,,
509.308,1120,,
509.342,1120,,
509.377,1121,,
509.412,1121,,
509.447,1121,,
509.481,1121,,
509.516,1121,,
509.551,1116,,
509.586,1119,,
509.62,1117,,
509.655,1117,,
509.69,1119,,
509.725,1119,,
509.759,1117,,
509.794,1118,,
509.829,1118,,
509.864,1118,,
509.898,1118,,
509.933,1120,,
509.968,1120,,
510.003,1119,1115.788818,3.211182084
510.037,1118,1115.796102,2.203898426
510.072,1118,1115.803727,2.196272977
510.107,1111,1115.811485,-4.81148485
510.142,1111,1115.819378,-4.819378129
510.176,1111,1115.827179,-4.827178589
510.211,1113,1115.835348,-2.835348262
510.246,1113,1115.843663,-2.843663066
510.281,1113,1115.852126,-2.852126454
510.315,1123,1115.860494,7.139506324
510.35,1123,1115.86926,7.130739507
510.385,1118,1115.878187,2.121813231
510.42,1118,1115.887276,2.112723616
510.454,1118,1115.896266,2.103733505
510.489,1118,1115.90569,2.094310043
510.524,1118,1115.915289,2.084710991
510.558,1125,1115.924786,9.075213907
510.593,1125,1115.934744,9.065255733
510.628,1123,1115.944891,7.055108549
510.663,1123,1115.955232,7.044767554
510.697,1123,1115.965468,7.034531733
510.732,1121,1115.976206,5.023793989
510.767,1118,1115.987153,2.01284724
510.801,1118,1115.997992,2.002007958
510.836,1118,1116.009367,1.990633051
510.871,1119,1116.020968,2.97903243
510.906,1123,1116.0328,6.967200099
510.94,1123,1116.044522,6.955478088
510.975,1123,1116.056829,6.943170617
511.01,1122,1116.069388,5.930612413
511.045,1121,1116.082203,4.917796637
511.079,1116,1116.094906,-0.09490631607
511.114,1116,1116.108251,-0.1082508182
511.149,1115,1116.121875,-1.121874627
511.183,1114,1116.135384,-2.135384055
511.218,1116,1116.149582,-0.1495816787
511.253,1112,1116.164083,-4.164082679
511.288,1107,1116.178896,-9.178895733
511.322,1107,1116.193593,-9.193592888
511.357,1116,1116.209048,-0.209047772
511.392,1107,1116.224842,-9.224842385
511.426,1117,1116.240521,0.7594794885
511.461,1125,1116.257015,8.742985492
511.496,1118,1116.273879,1.726120964
511.53,1118,1116.290627,1.709372912
511.565,1125,1116.308255,8.691744873
511.6,1128,1116.326288,11.67371194
511.635,1118,1116.344738,1.655261676
511.669,1117,1116.363073,0.6369266761
511.704,1121,1116.382385,4.617615308
511.739,1117,1116.402153,0.5978466878
511.773,1117,1116.421809,0.5781913019
511.808,1116,1116.442522,-0.4425217535
511.843,1118,1116.463737,1.53626316
511.877,1118,1116.484842,1.515158055
511.912,1127,1116.507095,10.49290491
511.947,1127,1116.529901,10.47009937
511.982,1127,1116.553277,10.44672307
512.016,1119,1116.57655,2.423450002
512.051,1119,1116.601108,2.398891725
512.086,1119,1116.626297,2.373703481
512.12,1119,1116.651389,2.348611167
512.155,1116,1116.677883,-0.6778832506
512.19,1119,1116.705075,2.294925316
512.224,1116,1116.73218,-0.7321799174
512.259,1116,1116.760818,-0.7608183831
512.294,1120,1116.79023,3.209769975
512.328,1120,1116.819568,3.180431821
512.363,1115,1116.850587,-1.850587114
512.398,1115,1116.882466,-1.882466017
512.432,1113,1116.914288,-3.91428781
512.467,1113,1116.947957,-3.947956943
512.502,1113,1116.982585,-3.982585286
512.537,1114,1117.018209,-3.018209408
512.571,1114,1117.053806,-3.053805537
512.606,1114,1117.091507,-3.091506755
512.641,1114,1117.130323,-3.130323133
512.675,1112,1117.16914,-5.169140139
512.71,1112,1117.210286,-5.210286325
512.745,1116,1117.252685,-1.252685358
512.779,1117,1117.295121,-0.2951210444
512.814,1117,1117.340142,-0.3401419369
512.849,1123,1117.386575,5.613424881
512.883,1123,1117.43309,5.566909834
512.918,1119,1117.482484,1.517515884
512.953,1121,1117.533476,3.466524224
512.987,1121,1117.584606,3.415394051
513.022,1119,1117.638953,1.361046618
513.057,1119,1117.695115,1.30488488
513.091,1120,1117.751486,2.248513689
513.126,1117,1117.811466,-0.8114663367
513.161,1120,1117.873515,2.126485115
513.195,1121,1117.935862,3.064138255
513.23,1121,1118.002273,2.997727212
513.265,1120,1118.071052,1.928947774
513.299,1120,1118.140241,1.859758587
513.334,1113,1118.214027,-5.214026991
513.369,1113,1118.290537,-5.290536578
513.403,1120,1118.367596,1.632404075
513.438,1123,1118.449877,4.550122915
513.473,1123,1118.535306,4.464693644
513.507,1123,1118.621462,4.378538246
513.542,1123,1118.713578,4.286421826
513.577,1122,1118.809352,3.190648479
513.611,1119,1118.906074,0.093926121
513.646,1119,1119.009636,-0.00963633063
513.681,1119,1119.11747,-0.1174700647
513.715,1122,1119.226536,2.773464427
513.75,1125,1119.343493,5.656506567
513.784,1125,1119.461912,5.538087836
513.819,1125,1119.589037,5.410962503
513.854,1125,1119.721766,5.278233674
513.888,1125,1119.85638,5.143619543
513.923,1113,1120.001143,-7.001142796
513.958,1125,1120.152559,4.847441049
513.992,1125,1120.306406,4.693593872
514.027,1119,1120.472161,-1.472161363
514.062,1119,1120.645873,-1.645873349
514.096,1120,1120.822722,-0.8227223749
514.131,1119,1121.013646,-2.013645722
514.166,1120,1121.214156,-1.214155962
514.2,1120,1121.418723,-1.418722873
514.235,1116,1121.640054,-5.640054364
514.269,1116,1121.866206,-5.8662055
514.304,1113,1122.111271,-9.111270727
514.339,1113,1122.369648,-9.369647885
514.373,1116,1122.634296,-6.634296224
514.408,1116,1122.921799,-6.921798648
514.443,1113,1123.225712,-10.22571187
514.477,1116,1123.537827,-7.537827077
514.512,1116,1123.87782,-7.877820261
514.547,1116,1124.238242,-8.23824237
514.581,1122,1124.609457,-2.609457459
514.616,1124,1125.015027,-1.015026603
514.65,1126,1125.433594,0.566405974
514.685,1130,1125.891858,4.108142307
514.72,1130,1126.380221,3.619779397
514.754,1130,1126.885893,3.114106671
514.789,1130,1127.441392,2.558607667
514.824,1130,1128.035455,1.96454544
514.858,1124,1128.652751,-4.652751065
514.893,1124,1129.33333,-5.333330013
514.927,1126,1130.042279,-4.04227907
514.962,1126,1130.82588,-4.825880439
514.997,1126,1131.669216,-5.669215533
515.031,1126,1132.551126,-6.551126117
515.066,1126,1133.529745,-7.529744955
515.101,1126,1134.587208,-8.587207788
515.135,1132,1135.697445,-3.697444508
515.17,1132,1136.934322,-4.934321793
515.204,1132,1138.236286,-6.236285747
515.239,1135,1139.690417,-4.690417092
515.274,1133,1141.271835,-8.271835416
515.308,1133,1142.942348,-9.942348031
515.343,1133,1144.814206,-11.81420588
515.377,1135,1146.795095,-11.79509469
515.412,1135,1149.017976,-14.01797607
515.447,1144,1151.445059,-7.445058796
515.481,1148,1154.016242,-6.016241687
515.516,1148,1156.901714,-8.901714297
515.55,1152,1159.954709,-7.954708904
515.585,1157,1163.372603,-6.372602946
515.62,1166,1167.085201,-1.085200617
515.654,1166,1170.984731,-4.984730974
515.689,1166,1175.304879,-9.304878965
515.724,1179,1179.929454,-0.9294544601
