cycle,time,ok,aligned,reason,center_x,center_y,target_x,target_y,dx,dy,tolerance_px,color_area_px,a_mask_area_px,b_mask_area_px,action_code,action_name,moved,dry_run,ch1_distance,ch2_distance,overlay_path,frame_path,b_mask_path,color_mask_path,a_mask_path,b_mask_path
1,2026-06-11 15:51:18,True,True,center_aligned,618.7982080249318,512.465913517725,612.941,509.412,-5.857208024931765,-3.053913517724993,10.0,2567,9161,26609,0,,False,,,,measurement_output\step9_color_center_align\run_20260611_154254_928\overlays\step9_cycle_0001_20260611_155118_945_action_0_overlay.png,measurement_output\step9_color_center_align\run_20260611_154254_928\frames\step9_cycle_0001_20260611_155118_945_action_0_frame.png,measurement_output\step9_color_center_align\run_20260611_154254_928\ab_masks\step9_cycle_0001_20260611_155118_945_action_0_b_mask.png,measurement_output\step9_color_center_align\run_20260611_154254_928\masks\step9_cycle_0001_20260611_155118_945_action_0_color_region_mask.png,measurement_output\step9_color_center_align\run_20260611_154254_928\ab_masks\step9_cycle_0001_20260611_155118_945_action_0_a_mask.png,measurement_output\step9_color_center_align\run_20260611_154254_928\ab_masks\step9_cycle_0001_20260611_155118_945_action_0_b_mask.png
1,2026-06-11 15:52:15,True,True,center_aligned,620.5535499398316,512.9185720016045,612.941,509.412,-7.612549939831524,-3.5065720016045248,10.0,2493,30,18278,0,,False,,,,measurement_output\step9_color_center_align\run_20260611_154254_928\overlays\step9_cycle_0001_20260611_155215_427_action_0_overlay.png,measurement_output\step9_color_center_align\run_20260611_154254_928\frames\step9_cycle_0001_20260611_155215_427_action_0_frame.png,measurement_output\step9_color_center_align\run_20260611_154254_928\ab_masks\step9_cycle_0001_20260611_155215_427_action_0_b_mask.png,measurement_output\step9_color_center_align\run_20260611_154254_928\masks\step9_cycle_0001_20260611_155215_427_action_0_color_region_mask.png,measurement_output\step9_color_center_align\run_20260611_154254_928\ab_masks\step9_cycle_0001_20260611_155215_427_action_0_a_mask.png,measurement_output\step9_color_center_align\run_20260611_154254_928\ab_masks\step9_cycle_0001_20260611_155215_427_action_0_b_mask.png
1,2026-06-11 15:52:28,True,True,center_aligned,620.361943319838,512.9943319838056,612.941,509.412,-7.420943319837988,-3.582331983805659,10.0,2470,8344,11860,0,,False,,,,measurement_output\step9_color_center_align\run_20260611_154254_928\overlays\step9_cycle_0001_20260611_155228_404_action_0_overlay.png,measurement_output\step9_color_center_align\run_20260611_154254_928\frames\step9_cycle_0001_20260611_155228_404_action_0_frame.png,measurement_output\step9_color_center_align\run_20260611_154254_928\ab_masks\step9_cycle_0001_20260611_155228_404_action_0_b_mask.png,measurement_output\step9_color_center_align\run_20260611_154254_928\masks\step9_cycle_0001_20260611_155228_404_action_0_color_region_mask.png,measurement_output\step9_color_center_align\run_20260611_154254_928\ab_masks\step9_cycle_0001_20260611_155228_404_action_0_a_mask.png,measurement_output\step9_color_center_align\run_20260611_154254_928\ab_masks\step9_cycle_0001_20260611_155228_404_action_0_b_mask.png
1,2026-06-11 15:53:16,True,True,center_aligned,621.8256198347108,512.9169421487603,612.941,509.412,-8.884619834710747,-3.5049421487603354,10.0,2420,4686,40149,0,,False,,,,measurement_output\step9_color_center_align\run_20260611_154254_928\overlays\step9_cycle_0001_20260611_155316_427_action_0_overlay.png,measurement_output\step9_color_center_align\run_20260611_154254_928\frames\step9_cycle_0001_20260611_155316_427_action_0_frame.png,measurement_output\step9_color_center_align\run_20260611_154254_928\ab_masks\step9_cycle_0001_20260611_155316_427_action_0_b_mask.png,measurement_output\step9_color_center_align\run_20260611_154254_928\masks\step9_cycle_0001_20260611_155316_427_action_0_color_region_mask.png,measurement_output\step9_color_center_align\run_20260611_154254_928\ab_masks\step9_cycle_0001_20260611_155316_427_action_0_a_mask.png,measurement_output\step9_color_center_align\run_20260611_154254_928\ab_masks\step9_cycle_0001_20260611_155316_427_action_0_b_mask.png
1,2026-06-11 15:55:50,True,False,moving,624.548401826484,511.26027397260276,612.941,509.412,-11.607401826483965,-1.848273972602783,10.0,2190,931215,9711,-10,左,True,False,20.0,-20.0,measurement_output\step9_color_center_align\run_20260611_154254_928\overlays\step9_cycle_0001_20260611_155545_596_action_-10_overlay.png,measurement_output\step9_color_center_align\run_20260611_154254_928\frames\step9_cycle_0001_20260611_155545_596_action_-10_frame.png,measurement_output\step9_color_center_align\run_20260611_154254_928\ab_masks\step9_cycle_0001_20260611_155545_596_action_-10_b_mask.png,measurement_output\step9_color_center_align\run_20260611_154254_928\masks\step9_cycle_0001_20260611_155545_596_action_-10_color_region_mask.png,,measurement_output\step9_color_center_align\run_20260611_154254_928\ab_masks\step9_cycle_0001_20260611_155545_596_action_-10_b_mask.png
2,2026-06-11 15:55:50,True,True,center_aligned,613.6974405850092,502.37065813528335,612.941,509.412,-0.7564405850091589,7.041341864716628,10.0,2188,931283,9282,0,,False,,,,measurement_output\step9_color_center_align\run_20260611_154254_928\overlays\step9_cycle_0002_20260611_155550_872_action_0_overlay.png,measurement_output\step9_color_center_align\run_20260611_154254_928\frames\step9_cycle_0002_20260611_155550_872_action_0_frame.png,measurement_output\step9_color_center_align\run_20260611_154254_928\ab_masks\step9_cycle_0002_20260611_155550_872_action_0_b_mask.png,measurement_output\step9_color_center_align\run_20260611_154254_928\masks\step9_cycle_0002_20260611_155550_872_action_0_color_region_mask.png,measurement_output\step9_color_center_align\run_20260611_154254_928\ab_masks\step9_cycle_0002_20260611_155550_872_action_0_a_mask.png,measurement_output\step9_color_center_align\run_20260611_154254_928\ab_masks\step9_cycle_0002_20260611_155550_872_action_0_b_mask.png
1,2026-06-11 15:56:11,True,True,center_aligned,613.7274764679516,502.7933662034962,612.941,509.412,-0.7864764679516156,6.6186337965037865,10.0,2231,931060,8089,0,,False,,,,measurement_output\step9_color_center_align\run_20260611_154254_928\overlays\step9_cycle_0001_20260611_155611_415_action_0_overlay.png,measurement_output\step9_color_center_align\run_20260611_154254_928\frames\step9_cycle_0001_20260611_155611_415_action_0_frame.png,measurement_output\step9_color_center_align\run_20260611_154254_928\ab_masks\step9_cycle_0001_20260611_155611_415_action_0_b_mask.png,measurement_output\step9_color_center_align\run_20260611_154254_928\masks\step9_cycle_0001_20260611_155611_415_action_0_color_region_mask.png,measurement_output\step9_color_center_align\run_20260611_154254_928\ab_masks\step9_cycle_0001_20260611_155611_415_action_0_a_mask.png,measurement_output\step9_color_center_align\run_20260611_154254_928\ab_masks\step9_cycle_0001_20260611_155611_415_action_0_b_mask.png
1,2026-06-11 15:56:24,True,True,center_aligned,614.0,502.359872611465,612.941,509.412,-1.058999999999969,7.052127388534984,10.0,2198,931571,8494,0,,False,,,,measurement_output\step9_color_center_align\run_20260611_154254_928\overlays\step9_cycle_0001_20260611_155624_211_action_0_overlay.png,measurement_output\step9_color_center_align\run_20260611_154254_928\frames\step9_cycle_0001_20260611_155624_211_action_0_frame.png,measurement_output\step9_color_center_align\run_20260611_154254_928\ab_masks\step9_cycle_0001_20260611_155624_211_action_0_b_mask.png,measurement_output\step9_color_center_align\run_20260611_154254_928\masks\step9_cycle_0001_20260611_155624_211_action_0_color_region_mask.png,measurement_output\step9_color_center_align\run_20260611_154254_928\ab_masks\step9_cycle_0001_20260611_155624_211_action_0_a_mask.png,measurement_output\step9_color_center_align\run_20260611_154254_928\ab_masks\step9_cycle_0001_20260611_155624_211_action_0_b_mask.png
1,2026-06-11 15:56:36,True,True,center_aligned,614.2752659574468,502.6843971631206,612.941,509.412,-1.3342659574467461,6.7276028368793845,10.0,2256,931785,8428,0,,False,,,,measurement_output\step9_color_center_align\run_20260611_154254_928\overlays\step9_cycle_0001_20260611_155636_845_action_0_overlay.png,measurement_output\step9_color_center_align\run_20260611_154254_928\frames\step9_cycle_0001_20260611_155636_845_action_0_frame.png,measurement_output\step9_color_center_align\run_20260611_154254_928\ab_masks\step9_cycle_0001_20260611_155636_845_action_0_b_mask.png,measurement_output\step9_color_center_align\run_20260611_154254_928\masks\step9_cycle_0001_20260611_155636_845_action_0_color_region_mask.png,measurement_output\step9_color_center_align\run_20260611_154254_928\ab_masks\step9_cycle_0001_20260611_155636_845_action_0_a_mask.png,measurement_output\step9_color_center_align\run_20260611_154254_928\ab_masks\step9_cycle_0001_20260611_155636_845_action_0_b_mask.png
1,2026-06-11 15:56:57,True,True,center_aligned,614.0165400089405,502.4617791685293,612.941,509.412,-1.075540008940493,6.950220831470688,10.0,2237,930676,8564,0,,False,,,,measurement_output\step9_color_center_align\run_20260611_154254_928\overlays\step9_cycle_0001_20260611_155657_612_action_0_overlay.png,measurement_output\step9_color_center_align\run_20260611_154254_928\frames\step9_cycle_0001_20260611_155657_612_action_0_frame.png,measurement_output\step9_color_center_align\run_20260611_154254_928\ab_masks\step9_cycle_0001_20260611_155657_612_action_0_b_mask.png,measurement_output\step9_color_center_align\run_20260611_154254_928\masks\step9_cycle_0001_20260611_155657_612_action_0_color_region_mask.png,measurement_output\step9_color_center_align\run_20260611_154254_928\ab_masks\step9_cycle_0001_20260611_155657_612_action_0_a_mask.png,measurement_output\step9_color_center_align\run_20260611_154254_928\ab_masks\step9_cycle_0001_20260611_155657_612_action_0_b_mask.png
1,2026-06-11 15:57:10,True,True,center_aligned,614.0695691202873,502.65305206463194,612.941,509.412,-1.1285691202872385,6.758947935368042,10.0,2228,929015,9121,0,,False,,,,measurement_output\step9_color_center_align\run_20260611_154254_928\overlays\step9_cycle_0001_20260611_155710_479_action_0_overlay.png,measurement_output\step9_color_center_align\run_20260611_154254_928\frames\step9_cycle_0001_20260611_155710_479_action_0_frame.png,measurement_output\step9_color_center_align\run_20260611_154254_928\ab_masks\step9_cycle_0001_20260611_155710_479_action_0_b_mask.png,measurement_output\step9_color_center_align\run_20260611_154254_928\masks\step9_cycle_0001_20260611_155710_479_action_0_color_region_mask.png,measurement_output\step9_color_center_align\run_20260611_154254_928\ab_masks\step9_cycle_0001_20260611_155710_479_action_0_a_mask.png,measurement_output\step9_color_center_align\run_20260611_154254_928\ab_masks\step9_cycle_0001_20260611_155710_479_action_0_b_mask.png
1,2026-06-11 15:57:23,True,True,center_aligned,613.5373201438849,502.4132194244604,612.941,509.412,-0.5963201438848955,6.99878057553957,10.0,2224,928472,9671,0,,False,,,,measurement_output\step9_color_center_align\run_20260611_154254_928\overlays\step9_cycle_0001_20260611_155723_229_action_0_overlay.png,measurement_output\step9_color_center_align\run_20260611_154254_928\frames\step9_cycle_0001_20260611_155723_229_action_0_frame.png,measurement_output\step9_color_center_align\run_20260611_154254_928\ab_masks\step9_cycle_0001_20260611_155723_229_action_0_b_mask.png,measurement_output\step9_color_center_align\run_20260611_154254_928\masks\step9_cycle_0001_20260611_155723_229_action_0_color_region_mask.png,measurement_output\step9_color_center_align\run_20260611_154254_928\ab_masks\step9_cycle_0001_20260611_155723_229_action_0_a_mask.png,measurement_output\step9_color_center_align\run_20260611_154254_928\ab_masks\step9_cycle_0001_20260611_155723_229_action_0_b_mask.png
1,2026-06-11 15:57:36,True,True,center_aligned,613.5632543585159,502.43182834152884,612.941,509.412,-0.6222543585158746,6.980171658471136,10.0,2237,929627,9408,0,,False,,,,measurement_output\step9_color_center_align\run_20260611_154254_928\overlays\step9_cycle_0001_20260611_155736_166_action_0_overlay.png,measurement_output\step9_color_center_align\run_20260611_154254_928\frames\step9_cycle_0001_20260611_155736_166_action_0_frame.png,measurement_output\step9_color_center_align\run_20260611_154254_928\ab_masks\step9_cycle_0001_20260611_155736_166_action_0_b_mask.png,measurement_output\step9_color_center_align\run_20260611_154254_928\masks\step9_cycle_0001_20260611_155736_166_action_0_color_region_mask.png,measurement_output\step9_color_center_align\run_20260611_154254_928\ab_masks\step9_cycle_0001_20260611_155736_166_action_0_a_mask.png,measurement_output\step9_color_center_align\run_20260611_154254_928\ab_masks\step9_cycle_0001_20260611_155736_166_action_0_b_mask.png
1,2026-06-11 15:57:56,True,True,center_aligned,614.0563254358516,502.7215020116227,612.941,509.412,-1.1153254358515596,6.690497988377274,10.0,2237,928893,9482,0,,False,,,,measurement_output\step9_color_center_align\run_20260611_154254_928\overlays\step9_cycle_0001_20260611_155756_046_action_0_overlay.png,measurement_output\step9_color_center_align\run_20260611_154254_928\frames\step9_cycle_0001_20260611_155756_046_action_0_frame.png,measurement_output\step9_color_center_align\run_20260611_154254_928\ab_masks\step9_cycle_0001_20260611_155756_046_action_0_b_mask.png,measurement_output\step9_color_center_align\run_20260611_154254_928\masks\step9_cycle_0001_20260611_155756_046_action_0_color_region_mask.png,measurement_output\step9_color_center_align\run_20260611_154254_928\ab_masks\step9_cycle_0001_20260611_155756_046_action_0_a_mask.png,measurement_output\step9_color_center_align\run_20260611_154254_928\ab_masks\step9_cycle_0001_20260611_155756_046_action_0_b_mask.png
1,2026-06-11 15:58:15,True,True,center_aligned,614.9013531209079,503.1187254474029,612.941,509.412,-1.9603531209078255,6.293274552597097,10.0,2291,928193,9500,0,,False,,,,measurement_output\step9_color_center_align\run_20260611_154254_928\overlays\step9_cycle_0001_20260611_155815_833_action_0_overlay.png,measurement_output\step9_color_center_align\run_20260611_154254_928\frames\step9_cycle_0001_20260611_155815_833_action_0_frame.png,measurement_output\step9_color_center_align\run_20260611_154254_928\ab_masks\step9_cycle_0001_20260611_155815_833_action_0_b_mask.png,measurement_output\step9_color_center_align\run_20260611_154254_928\masks\step9_cycle_0001_20260611_155815_833_action_0_color_region_mask.png,measurement_output\step9_color_center_align\run_20260611_154254_928\ab_masks\step9_cycle_0001_20260611_155815_833_action_0_a_mask.png,measurement_output\step9_color_center_align\run_20260611_154254_928\ab_masks\step9_cycle_0001_20260611_155815_833_action_0_b_mask.png
