timestamp,frame_index,step,phase,raw_angle,final_angle,angle_deg,baseline_angle,last_confirmed_angle_before,raw_delta_to_last,delta_from_baseline,final_delta_to_baseline,angle_source,edge_length_px,endpoints,trigger_type,controller_action,raw_image_path,overlay_image_path,reason
2026-07-17 22:15:42.339,18,3,pause,-35.951148228896685,-35.951148228896685,-35.951148228896685,-35.802916700309794,-35.95073780454005,0.0004104243566374066,0.1482315285868907,0.1482315285868907,yolo_obb_long_edge,280.39222429117984,"[[472.9010314941406, 440.6010437011719], [699.883544921875, 275.9841003417969]]",,action_id=1,measurement_output\save\07.17\20260717_221443\ab_angle_realtime_yolo_obb\20260717_221542_322_step7_realtime_frame_000018_raw.png,measurement_output\save\07.17\20260717_221443\ab_angle_realtime_yolo_obb\20260717_221542_322_step7_realtime_frame_000018_YOLO_OBB_overlay.png,ok
2026-07-17 22:15:42.908,19,3,pause,-35.951148228896685,-35.951148228896685,-35.951148228896685,-35.802916700309794,-35.951148228896685,0.0,0.1482315285868907,0.1482315285868907,yolo_obb_long_edge,280.39222429117984,"[[472.9010314941406, 440.6010437011719], [699.883544921875, 275.9841003417969]]",,action_id=1,measurement_output\save\07.17\20260717_221443\ab_angle_realtime_yolo_obb\20260717_221542_889_step7_realtime_frame_000019_raw.png,measurement_output\save\07.17\20260717_221443\ab_angle_realtime_yolo_obb\20260717_221542_889_step7_realtime_frame_000019_YOLO_OBB_overlay.png,ok
2026-07-17 22:15:43.468,20,3,pause,-35.952090828536846,-35.952090828536846,-35.952090828536846,-35.802916700309794,-35.951148228896685,0.0009425996401617454,0.14917412822705245,0.14917412822705245,yolo_obb_long_edge,280.38867090429284,"[[472.906005859375, 440.6054382324219], [699.8829345703125, 275.9868469238281]]",,action_id=1,measurement_output\save\07.17\20260717_221443\ab_angle_realtime_yolo_obb\20260717_221543_450_step7_realtime_frame_000020_raw.png,measurement_output\save\07.17\20260717_221443\ab_angle_realtime_yolo_obb\20260717_221543_450_step7_realtime_frame_000020_YOLO_OBB_overlay.png,ok
2026-07-17 22:15:44.023,21,3,pause,-35.952090828536846,-35.952090828536846,-35.952090828536846,-35.802916700309794,-35.952090828536846,0.0,0.14917412822705245,0.14917412822705245,yolo_obb_long_edge,280.38867090429284,"[[472.906005859375, 440.6054382324219], [699.8829345703125, 275.9868469238281]]",,action_id=1,measurement_output\save\07.17\20260717_221443\ab_angle_realtime_yolo_obb\20260717_221544_005_step7_realtime_frame_000021_raw.png,measurement_output\save\07.17\20260717_221443\ab_angle_realtime_yolo_obb\20260717_221544_005_step7_realtime_frame_000021_YOLO_OBB_overlay.png,ok
2026-07-17 22:15:44.587,22,3,pause,-35.95072670758105,-35.95072670758105,-35.95072670758105,-35.802916700309794,-35.952090828536846,0.0013641209557988532,0.1478100072712536,0.1478100072712536,yolo_obb_long_edge,280.38654375361136,"[[472.90057373046875, 440.5990905761719], [699.8796997070312, 275.9871520996094]]",,action_id=1,measurement_output\save\07.17\20260717_221443\ab_angle_realtime_yolo_obb\20260717_221544_569_step7_realtime_frame_000022_raw.png,measurement_output\save\07.17\20260717_221443\ab_angle_realtime_yolo_obb\20260717_221544_569_step7_realtime_frame_000022_YOLO_OBB_overlay.png,ok
2026-07-17 22:15:45.137,23,3,pause,-35.95210192375281,-35.95210192375281,-35.95210192375281,-35.802916700309794,-35.95072670758105,0.0013752161717590639,0.14918522344301266,0.14918522344301266,yolo_obb_long_edge,280.3890118751893,"[[472.89898681640625, 440.59619140625], [699.8761596679688, 275.97735595703125]]",,action_id=1,measurement_output\save\07.17\20260717_221443\ab_angle_realtime_yolo_obb\20260717_221545_119_step7_realtime_frame_000023_raw.png,measurement_output\save\07.17\20260717_221443\ab_angle_realtime_yolo_obb\20260717_221545_119_step7_realtime_frame_000023_YOLO_OBB_overlay.png,ok
2026-07-17 22:15:45.684,24,3,pause,-35.95210192375281,-35.95210192375281,-35.95210192375281,-35.802916700309794,-35.95210192375281,0.0,0.14918522344301266,0.14918522344301266,yolo_obb_long_edge,280.3890118751893,"[[472.89898681640625, 440.59619140625], [699.8761596679688, 275.97735595703125]]",,action_id=1,measurement_output\save\07.17\20260717_221443\ab_angle_realtime_yolo_obb\20260717_221545_666_step7_realtime_frame_000024_raw.png,measurement_output\save\07.17\20260717_221443\ab_angle_realtime_yolo_obb\20260717_221545_666_step7_realtime_frame_000024_YOLO_OBB_overlay.png,ok
2026-07-17 22:15:46.235,25,3,pause,-35.95156813666492,-35.95156813666492,-35.95156813666492,-35.802916700309794,-35.95210192375281,0.0005337870878889817,0.14865143635512368,0.14865143635512368,yolo_obb_long_edge,280.39284755687095,"[[664.0625, 226.59251403808594], [437.0806884765625, 391.21148681640625]]",,action_id=1,measurement_output\save\07.17\20260717_221443\ab_angle_realtime_yolo_obb\20260717_221546_218_step7_realtime_frame_000025_raw.png,measurement_output\save\07.17\20260717_221443\ab_angle_realtime_yolo_obb\20260717_221546_218_step7_realtime_frame_000025_YOLO_OBB_overlay.png,ok
2026-07-17 22:15:46.298,,3,pause,,,,-35.802916700309794,,,,,controller,,,,action_id=1,,measurement_output\save\07.17\20260717_221443\step7_a_route_overlays\step7_a_route_step_0003_cur_0016_target_0017.png,controller_step_ok
2026-07-17 22:15:47.382,26,4,planning,-35.9504525530947,-35.9504525530947,-35.9504525530947,-35.802916700309794,-35.95156813666492,0.001115583570218348,0.14753585278490533,0.14753585278490533,yolo_obb_long_edge,280.3866263247219,"[[472.904052734375, 440.6044006347656], [699.884033203125, 275.9934997558594]]",,action_id=1,measurement_output\save\07.17\20260717_221443\ab_angle_realtime_yolo_obb\20260717_221547_365_step7_realtime_frame_000026_raw.png,measurement_output\save\07.17\20260717_221443\ab_angle_realtime_yolo_obb\20260717_221547_365_step7_realtime_frame_000026_YOLO_OBB_overlay.png,ok
