x,y,lorentz_fit_y,residual
498.215,1100,,
498.25,1100,,
498.285,1100,,
498.32,1100,,
498.355,1100,,
498.39,1100,,
498.425,1100,,
498.46,1100,,
498.495,1100,,
498.53,1100,,
498.565,1100,,
498.6,1102,,
498.635,1102,,
498.67,1102,,
498.705,1105,,
498.74,1105,,
498.775,1106,,
498.81,1106,,
498.845,1106,,
498.88,1106,,
498.915,1105,,
498.95,1105,,
498.985,1102,,
499.02,1102,,
499.055,1100,,
499.09,1100,,
499.125,1109,,
499.16,1111,,
499.195,1109,,
499.23,1113,,
499.265,1115,,
499.3,1113,,
499.335,1111,,
499.37,1111,,
499.405,1105,,
499.44,1101,,
499.475,1105,,
499.51,1104,,
499.545,1101,,
499.58,1101,,
499.615,1098,,
499.65,1098,,
499.685,1098,,
499.72,1109,,
499.755,1109,,
499.79,1109,,
499.825,1109,,
499.86,1101,,
499.894,1101,,
499.929,1109,,
499.964,1120,,
499.999,1123,,
500.034,1123,,
500.069,1123,,
500.104,1114,,
500.139,1114,,
500.174,1108,,
500.209,1114,,
500.244,1116,,
500.279,1116,,
500.314,1116,,
500.349,1116,,
500.384,1111,,
500.419,1111,,
500.454,1111,,
500.489,1105,,
500.524,1111,,
500.559,1112,,
500.594,1108,,
500.629,1111,,
500.664,1111,,
500.699,1109,,
500.734,1108,,
500.768,1109,,
500.803,1107,,
500.838,1105,,
500.873,1107,,
500.908,1106,,
500.943,1104,,
500.978,1104,,
501.013,1106,,
501.048,1105,,
501.083,1102,,
501.118,1104,,
501.153,1105,,
501.188,1105,,
501.223,1105,,
501.258,1105,,
501.293,1105,,
501.328,1113,,
501.362,1111,,
501.397,1111,,
501.432,1111,,
501.467,1107,,
501.502,1105,,
501.537,1105,,
501.572,1105,,
501.607,1105,,
501.642,1105,,
501.677,1105,,
501.712,1105,,
501.747,1106,,
501.782,1102,,
501.817,1107,,
501.852,1111,,
501.886,1107,,
501.921,1107,,
501.956,1107,,
501.991,1107,,
502.026,1106,,
502.061,1106,,
502.096,1106,,
502.131,1104,,
502.166,1104,,
502.201,1104,,
502.236,1104,,
502.271,1104,,
502.305,1106,,
502.34,1112,,
502.375,1112,,
502.41,1112,,
502.445,1114,,
502.48,1109,,
502.515,1109,,
502.55,1109,,
502.585,1113,,
502.62,1113,,
502.655,1113,,
502.69,1109,,
502.724,1114,,
502.759,1111,,
502.794,1109,,
502.829,1109,,
502.864,1108,,
502.899,1104,,
502.934,1103,,
502.969,1104,,
503.004,1104,,
503.039,1124,,
503.073,1124,,
503.108,1124,,
503.143,1110,,
503.178,1110,,
503.213,1110,,
503.248,1110,,
503.283,1110,,
503.318,1110,,
503.353,1110,,
503.388,1108,,
503.422,1107,,
503.457,1106,,
503.492,1103,,
503.527,1103,,
503.562,1103,,
503.597,1103,,
503.632,1110,,
503.667,1110,,
503.702,1109,,
503.736,1110,,
503.771,1109,,
503.806,1109,,
503.841,1109,,
503.876,1108,,
503.911,1106,,
503.946,1108,,
503.981,1108,,
504.015,1114,,
504.05,1114,,
504.085,1114,,
504.12,1114,,
504.155,1111,,
504.19,1111,,
504.225,1116,,
504.26,1116,,
504.294,1116,,
504.329,1116,,
504.364,1114,,
504.399,1114,,
504.434,1109,,
504.469,1108,,
504.504,1108,,
504.539,1109,,
504.573,1109,,
504.608,1111,,
504.643,1111,,
504.678,1114,,
504.713,1114,,
504.748,1114,,
504.783,1114,,
504.817,1114,,
504.852,1114,,
504.887,1110,,
504.922,1110,,
504.957,1110,,
504.992,1111,,
505.027,1116,,
505.061,1116,,
505.096,1116,,
505.131,1116,,
505.166,1114,,
505.201,1114,,
505.236,1115,,
505.271,1115,,
505.305,1115,,
505.34,1115,,
505.375,1113,,
505.41,1113,,
505.445,1113,,
505.48,1112,,
505.514,1113,,
505.549,1113,,
505.584,1117,,
505.619,1117,,
505.654,1117,,
505.689,1124,,
505.724,1127,,
505.758,1124,,
505.793,1105,,
505.828,1119,,
505.863,1105,,
505.898,1105,,
505.933,1115,,
505.967,1115,,
506.002,1115,,
506.037,1115,,
506.072,1114,,
506.107,1113,,
506.142,1113,,
506.176,1113,,
506.211,1114,,
506.246,1114,,
506.281,1119,,
506.316,1119,,
506.35,1110,,
506.385,1110,,
506.42,1120,,
506.455,1120,,
506.49,1120,,
506.525,1120,,
506.559,1118,,
506.594,1116,,
506.629,1106,,
506.664,1106,,
506.699,1106,,
506.734,1115,,
506.768,1114,,
506.803,1114,,
506.838,1114,,
506.873,1114,,
506.908,1114,,
506.942,1113,,
506.977,1113,,
507.012,1113,,
507.047,1112,,
507.082,1112,,
507.116,1112,,
507.151,1114,,
507.186,1112,,
507.221,1112,,
507.256,1114,,
507.29,1114,,
507.325,1114,,
507.36,1114,,
507.395,1114,,
507.43,1110,,
507.464,1110,,
507.499,1110,,
507.534,1110,,
507.569,1121,,
507.604,1123,,
507.638,1123,,
507.673,1123,,
507.708,1123,,
507.743,1123,,
507.778,1118,,
507.812,1118,,
507.847,1117,,
507.882,1116,,
507.917,1113,,
507.952,1113,,
507.986,1112,,
508.021,1113,,
508.056,1113,,
508.091,1115,,
508.126,1118,,
508.16,1121,,
508.195,1126,,
508.23,1126,,
508.265,1121,,
508.299,1121,,
508.334,1116,,
508.369,1116,,
508.404,1111,,
508.439,1116,,
508.473,1113,,
508.508,1113,,
508.543,1113,,
508.578,1118,,
508.612,1118,,
508.647,1118,,
508.682,1118,,
508.717,1118,,
508.752,1118,,
508.786,1118,,
508.821,1125,,
508.856,1120,,
508.891,1120,,
508.925,1120,,
508.96,1125,,
508.995,1120,,
509.03,1113,,
509.064,1117,,
509.099,1113,,
509.134,1113,,
509.169,1117,,
509.203,1119,,
509.238,1119,,
509.273,1119,,
509.308,1118,,
509.342,1111,,
509.377,1110,,
509.412,1110,,
509.447,1110,,
509.481,1124,,
509.516,1124,,
509.551,1124,,
509.586,1118,,
509.62,1118,,
509.655,1112,,
509.69,1118,,
509.725,1115,,
509.759,1117,,
509.794,1117,,
509.829,1117,,
509.864,1117,,
509.898,1117,,
509.933,1115,,
509.968,1115,,
510.003,1124,1113.900977,10.09902297
510.037,1115,1113.90405,1.095949787
510.072,1115,1113.907267,1.092733485
510.107,1115,1113.910538,1.089462491
510.142,1114,1113.913864,0.08613556545
510.176,1114,1113.917151,0.08284892706
510.211,1115,1113.920592,1.079407964
510.246,1118,1113.924093,4.075907169
510.281,1124,1113.927655,10.07234516
510.315,1124,1113.931175,10.06882494
510.35,1118,1113.934862,4.065138017
510.385,1115,1113.938614,1.061385508
510.42,1115,1113.942434,1.057565858
510.454,1114,1113.94621,0.05378953109
510.489,1115,1113.950167,1.049832779
510.524,1115,1113.954196,1.045803984
510.558,1117,1113.95818,3.041819653
510.593,1117,1113.962356,3.037643655
510.628,1121,1113.96661,7.033390259
510.663,1121,1113.970942,7.029057552
510.697,1121,1113.975229,7.024770822
510.732,1121,1113.979724,7.020275924
510.767,1121,1113.984304,7.015695675
510.801,1120,1113.988837,6.011162512
510.836,1117,1113.993592,3.006407604
510.871,1113,1113.998439,-0.9984392779
510.906,1117,1114.003381,2.996619494
510.94,1117,1114.008273,2.991726781
510.975,1118,1114.013408,3.986592312
511.01,1123,1114.018644,8.981355987
511.045,1123,1114.023985,8.976015116
511.079,1118,1114.029276,3.970724094
511.114,1116,1114.034831,1.96516888
511.149,1115,1114.040499,0.95950058
511.183,1115,1114.046117,0.9538830367
511.218,1116,1114.052017,1.947982712
511.253,1116,1114.05804,1.941959879
511.288,1114,1114.064189,-0.06418885094
511.322,1116,1114.070286,1.929714221
511.357,1116,1114.076693,1.923306912
511.392,1113,1114.083237,-1.083237071
511.426,1121,1114.089729,6.910271363
511.461,1121,1114.096554,6.903446435
511.496,1121,1114.103527,6.896472888
511.53,1112,1114.110448,-2.11044781
511.565,1112,1114.117727,-2.117727115
511.6,1110,1114.125168,-4.125168305
511.635,1112,1114.132776,-2.132776171
511.669,1112,1114.140331,-2.140330982
511.704,1121,1114.148282,6.851717833
511.739,1121,1114.156415,6.84358466
511.773,1121,1114.164496,6.835504345
511.808,1121,1114.173004,6.826995961
511.843,1118,1114.181712,3.818288496
511.877,1118,1114.190367,3.809633311
511.912,1118,1114.199485,3.800514996
511.947,1118,1114.208822,3.791178476
511.982,1118,1114.218383,3.781616807
512.016,1118,1114.227894,3.772105894
512.051,1118,1114.237921,3.762078948
512.086,1118,1114.248195,3.751804549
512.12,1117,1114.258421,2.741579062
512.155,1117,1114.269207,2.730792746
512.19,1117,1114.280266,2.719733878
512.224,1118,1114.291279,3.708721323
512.259,1118,1114.302902,3.697097984
512.294,1120,1114.314826,5.685173776
512.328,1122,1114.326708,7.673292359
512.363,1122,1114.339256,7.660744306
512.398,1122,1114.352137,7.647863345
512.432,1122,1114.364979,7.635020524
512.467,1118,1114.378552,3.621448449
512.502,1117,1114.392493,2.607507117
512.537,1115,1114.406817,0.5931832048
512.571,1115,1114.421111,0.5788890113
512.606,1117,1114.43623,2.563769507
512.641,1117,1114.451776,2.548224191
512.675,1115,1114.4673,0.5327002258
512.71,1113,1114.483732,-1.483731781
512.745,1112,1114.500639,-2.500639001
512.779,1112,1114.517535,-2.517535448
512.814,1112,1114.535434,-2.535433623
512.849,1112,1114.553864,-2.553863646
512.883,1116,1114.572296,1.427703813
512.918,1117,1114.591837,2.408163102
512.953,1120,1114.611975,5.388025396
512.987,1120,1114.632131,5.367868553
513.022,1120,1114.653518,5.346482188
513.057,1121,1114.675576,6.324423629
513.091,1120,1114.697675,5.302325214
513.126,1120,1114.721142,5.278858437
513.161,1114,1114.745368,-0.7453676608
513.195,1120,1114.769659,5.230340619
513.23,1114,1114.795479,-0.7954789061
513.265,1114,1114.822159,-0.8221590797
513.299,1112,1114.848937,-2.848936879
