cycle_index,time,angle_before,angle_after,angle_before_after_delta,previous_cycle_angle,angle_delta_vs_previous_cycle,signal_on_time_used_ms,signal_on_time_next_ms,signal_time_adjust_action,angle_before_center,angle_after_center,raw_original_peak,raw_peak,fit_peak,run_session_name,spectrum_filename,labview_csv_path,spectrum_csv_path
1,2026-06-10 00:34:25,112.98220465542153,,,,,,,,,,1145.0,1114.0,1114.0,20260610_003409,cycle_0001_003413_285_spectrum.csv,labview_csv_output\measure_001_20260610_003424.csv,measurement_output\save\06.10\20260610_003409\cycle_0001_003413_285_spectrum.csv
1,2026-06-10 00:35:04,112.62864615790893,,,,,,,,,,7917.0,1137.0,1137.0,20260610_003451,cycle_0001_003452_680_spectrum.csv,labview_csv_output\measure_001_20260610_003504.csv,measurement_output\save\06.10\20260610_003451\cycle_0001_003452_680_spectrum.csv
2,2026-06-10 00:37:47,107.79688895514782,,,,4.831757202761111,,,,,,1145.0,1122.0,1122.0,20260610_003451,cycle_0002_003736_078_spectrum.csv,labview_csv_output\measure_002_20260610_003747.csv,measurement_output\save\06.10\20260610_003451\cycle_0002_003736_078_spectrum.csv
3,2026-06-10 00:39:01,99.21688061578132,,,,8.5800083393665,,,,,,2399.0,1165.0,1165.0,20260610_003451,cycle_0003_003850_022_spectrum.csv,labview_csv_output\measure_003_20260610_003901.csv,measurement_output\save\06.10\20260610_003451\cycle_0003_003850_022_spectrum.csv
4,2026-06-10 00:40:05,91.5361289823386,,,,7.680751633442725,,,,,,1137.0,1115.0,1115.0,20260610_003451,cycle_0004_003953_488_spectrum.csv,labview_csv_output\measure_004_20260610_004005.csv,measurement_output\save\06.10\20260610_003451\cycle_0004_003953_488_spectrum.csv
5,2026-06-10 00:41:15,83.05132636568605,,,,8.484802616652544,,,,,,2616.0,1183.0,1183.0,20260610_003451,cycle_0005_004103_792_spectrum.csv,labview_csv_output\measure_005_20260610_004115.csv,measurement_output\save\06.10\20260610_003451\cycle_0005_004103_792_spectrum.csv
6,2026-06-10 00:47:35,0.777237373894294,,,,82.27408899179176,,,,,,3659.0,1121.0,1121.0,20260610_003451,cycle_0006_004723_383_spectrum.csv,labview_csv_output\measure_006_20260610_004735.csv,measurement_output\save\06.10\20260610_003451\cycle_0006_004723_383_spectrum.csv
7,2026-06-10 00:48:01,0.30213592629647484,,,,0.4751014475978192,,,,,,2408.0,1137.0,1137.0,20260610_003451,cycle_0007_004750_046_spectrum.csv,labview_csv_output\measure_007_20260610_004801.csv,measurement_output\save\06.10\20260610_003451\cycle_0007_004750_046_spectrum.csv
8,2026-06-10 00:48:28,0.05686545079862954,,,,0.2452704754978453,,,,,,1155.0,1119.0,1119.0,20260610_003451,cycle_0008_004816_742_spectrum.csv,labview_csv_output\measure_008_20260610_004828.csv,measurement_output\save\06.10\20260610_003451\cycle_0008_004816_742_spectrum.csv
9,2026-06-10 00:48:53,63.96636118981892,,,,63.90949573902029,,,,,,5188.0,1118.0,1118.0,20260610_003451,cycle_0009_004841_702_spectrum.csv,labview_csv_output\measure_009_20260610_004853.csv,measurement_output\save\06.10\20260610_003451\cycle_0009_004841_702_spectrum.csv
10,2026-06-10 00:49:18,65.72800530014757,,,,1.7616441103286533,,,,,,1144.0,1118.0,1118.0,20260610_003451,cycle_0010_004906_210_spectrum.csv,labview_csv_output\measure_010_20260610_004917.csv,measurement_output\save\06.10\20260610_003451\cycle_0010_004906_210_spectrum.csv
