a_area,a_conf,a_source,a_x,a_y,ab_b_contact_x,ab_b_contact_y,ab_edge_dist,ab_overlap,ab_overlap_area,ab_status,ac_c_contact_x,ac_c_contact_y,ac_clearance,ac_collision_like,ac_raw_dist,ac_status,action_id,action_name,b_area,b_conf,b_edge_angle_deg,b_edge_x1,b_edge_x2,b_edge_y1,b_edge_y2,b_source,b_x,b_y,c_area,c_conf,c_source,c_x,c_y,contact_valid,cycle,direction,distance_status,ok,stage_x,stage_y,time
9192.0,1.0,sam2,546.9900819553235,215.04632651581085,460.41499763822463,230.24301684806755,87.89871797453749,False,0.0,ab_no_overlap,488.0,339.0,137.274698831652,False,137.274698831652,ac_too_far,3,LEFT,8574.0,1.0,80.0441862959922,486.0,453.0,376.0,188.0,sam2,448.7327773890055,299.25421817899075,48050.5,1.0,sam2,495.0746332851201,478.2708886137154,False,1,left,ac_too_far|ab_no_overlap,True,,,1780587578.9158154
9178.0,1.0,sam2,546.964607394494,214.89147962519067,461.64936901631233,229.02654870559945,86.47826361250492,False,0.0,ab_no_overlap,488.0,339.0,137.40360168063748,False,137.40360168063748,ac_too_far,3,LEFT,8539.0,1.0,80.59266412779309,486.0,458.0,376.0,207.0,sam2,448.67535230510987,299.16986766600303,48050.5,1.0,sam2,495.0746332851201,478.2708886137154,False,2,left,ac_too_far|ab_no_overlap,True,,,1780587579.1752126
9172.5,1.0,sam2,546.7982374852367,215.0578359225947,461.7977737899197,229.05791229594104,86.1456961599268,False,0.0,ab_no_overlap,488.0,339.0,137.1819695425049,False,137.1819695425049,ac_too_far,3,LEFT,8574.0,1.0,80.64702074990674,486.0,458.0,376.0,206.0,sam2,448.71878158774587,299.10211103335666,48050.5,1.0,sam2,495.0746332851201,478.2708886137154,False,3,left,ac_too_far|ab_no_overlap,True,,,1780587579.442041
9205.0,1.0,sam2,546.9338946224877,214.98526163317038,459.7324212203513,230.75574086547167,88.61605373023535,False,0.0,ab_no_overlap,488.0,339.0,137.30571462094247,False,137.30571462094247,ac_too_far,3,LEFT,8632.5,1.0,79.74880124918256,486.0,452.0,376.0,188.0,sam2,448.6001351481803,298.79764456028573,48050.5,1.0,sam2,495.0746332851201,478.2708886137154,False,4,left,ac_too_far|ab_no_overlap,True,,,1780587579.7069917
9185.5,1.0,sam2,546.832072287845,214.9480884727741,461.9414245318716,228.93007751493442,86.03440064302097,False,0.0,ab_no_overlap,488.0,339.0,137.29562805581577,False,137.29562805581577,ac_too_far,3,LEFT,8567.0,1.0,80.64702074990674,486.0,458.0,375.0,205.0,sam2,448.66892338819497,298.9900782070737,48050.5,1.0,sam2,495.0746332851201,478.2708886137154,False,5,left,ac_too_far|ab_no_overlap,True,,,1780587579.9565187
9141.5,1.0,sam2,546.912760487885,214.95834017028568,459.7270373011633,230.72597095937363,88.60004801518251,False,0.0,ab_no_overlap,488.0,339.0,137.32096242603845,False,137.32096242603845,ac_too_far,3,LEFT,8611.0,1.0,79.74880124918256,486.0,452.0,376.0,188.0,sam2,448.7188479851353,298.99576123562883,48050.5,1.0,sam2,495.0746332851201,478.2708886137154,False,6,left,ac_too_far|ab_no_overlap,True,,,1780587580.2081554
9204.0,1.0,sam2,546.9666449369839,214.91672099087353,459.72145540057033,230.69510633256533,88.66047902665339,False,0.0,ab_no_overlap,488.0,339.0,137.3816776167079,False,137.3816776167079,ac_too_far,3,LEFT,8591.0,1.0,79.74880124918256,486.0,452.0,376.0,188.0,sam2,448.70117952896436,299.0584720443875,48050.5,1.0,sam2,495.0746332851201,478.2708886137154,False,7,left,ac_too_far|ab_no_overlap,True,,,1780587580.4722633
9185.5,1.0,sam2,547.033766987825,214.96126140837913,461.78850820719373,229.0016569722478,86.3937894305296,False,0.0,ab_no_overlap,488.0,339.0,137.3702817794783,False,137.3702817794783,ac_too_far,3,LEFT,8573.0,1.0,80.64702074990674,486.0,458.0,376.0,206.0,sam2,448.73537073758695,299.2669427271667,48050.5,1.0,sam2,495.0746332851201,478.2708886137154,False,8,left,ac_too_far|ab_no_overlap,True,,,1780587580.7240314
9149.5,1.0,sam2,546.8849299597427,215.027414977139,461.9199682930551,228.93980636115802,86.09645373093964,False,0.0,ab_no_overlap,488.0,339.0,137.2466276948702,False,137.2466276948702,ac_too_far,3,LEFT,8606.5,1.0,80.70075831793659,486.0,458.0,376.0,205.0,sam2,448.6053757818703,298.969402970623,48050.5,1.0,sam2,495.0746332851201,478.2708886137154,False,9,left,ac_too_far|ab_no_overlap,True,,,1780587580.9736829
9153.5,1.0,sam2,546.9498734545983,214.99000382367402,461.79090146169966,229.0161874460338,86.3063400793676,False,0.0,ab_no_overlap,488.0,339.0,137.30829083476914,False,137.30829083476914,ac_too_far,3,LEFT,8575.0,1.0,80.64702074990674,486.0,458.0,376.0,206.0,sam2,448.71100097181727,298.86443148688045,48050.5,1.0,sam2,495.0746332851201,478.2708886137154,False,10,left,ac_too_far|ab_no_overlap,True,,,1780587581.227366
9153.0,1.0,sam2,546.8940420262937,214.94972504461197,460.3956771592624,230.13294866488874,87.82082557214667,False,0.0,ab_no_overlap,488.0,339.0,137.3207154900608,False,137.3207154900608,ac_too_far,3,LEFT,8513.5,1.0,80.0441862959922,486.0,453.0,376.0,188.0,sam2,448.77439752549867,299.2883851138388,48050.5,1.0,sam2,495.0746332851201,478.2708886137154,False,11,left,ac_too_far|ab_no_overlap,True,,,1780587581.4887478
