index,x,y
0,257.7098388671875,541.037109375
1,267.309814453125,546.037109375
2,276.90985107421875,551.037109375
3,286.50982666015625,556.037109375
4,296.10986328125,561.037109375
5,305.7098388671875,566.037109375
6,315.3098449707031,571.037109375
7,324.90985107421875,576.037109375
8,334.50982666015625,581.037109375
9,344.1098327636719,586.037109375
10,562.271484375,513.7086181640625
11,566.7159423828125,502.5975036621094
12,571.160400390625,491.48638916015625
13,575.6048583984375,480.37530517578125
14,580.04931640625,469.2641906738281
15,584.4937133789062,458.153076171875
16,588.9381713867188,447.0419616699219
17,593.3826293945312,435.93084716796875
18,597.8270874023438,424.8197326660156
19,530.7262573242188,224.15997314453125
20,520.3512573242188,218.90997314453125
21,509.9762878417969,213.65997314453125
22,499.6012878417969,208.40997314453125
23,489.2262878417969,203.15997314453125
24,478.8512878417969,197.90997314453125
25,468.4762878417969,192.65997314453125
26,458.1012878417969,187.40997314453125
27,250.025146484375,241.12318420410156
28,244.13626098632812,251.3454132080078
29,238.24737548828125,261.567626953125
30,232.35848999023438,271.78985595703125
31,226.4696044921875,282.0120849609375
32,220.5806884765625,292.23431396484375
33,214.69183349609375,302.45654296875
34,208.80291748046875,312.67877197265625
35,202.91403198242188,322.90093994140625
