index,x,y
0,545.099365234375,552.6949462890625
1,556.4326782226562,553.4727172851562
2,567.7660522460938,554.25048828125
3,579.099365234375,555.0283203125
4,590.4326782226562,555.8060302734375
5,601.7660522460938,556.5838623046875
6,613.099365234375,557.3616333007812
7,624.4326782226562,558.139404296875
8,635.7660522460938,558.9171752929688
9,647.099365234375,559.6949462890625
10,658.4327392578125,560.4727172851562
11,669.7660522460938,561.25048828125
12,681.099365234375,562.0283203125
13,692.4327392578125,562.8060302734375
14,703.7659912109375,563.5838623046875
15,715.0993041992188,564.361572265625
16,726.4326782226562,565.139404296875
17,737.7659912109375,565.9171142578125
18,845.687744140625,341.02679443359375
19,837.000244140625,333.08929443359375
20,828.312744140625,325.15179443359375
21,819.625244140625,317.21429443359375
22,810.937744140625,309.27679443359375
23,802.250244140625,301.33929443359375
24,793.562744140625,293.40179443359375
25,784.875244140625,285.46429443359375
26,776.187744140625,277.52679443359375
27,767.500244140625,269.58929443359375
28,758.812744140625,261.65179443359375
29,750.125244140625,253.71429443359375
30,741.437744140625,245.77679443359375
31,732.750244140625,237.83929443359375
32,724.062744140625,229.90179443359375
33,715.375244140625,221.96429443359375
34,568.5526123046875,190.18740844726562
35,557.9970703125,194.63186645507812
36,547.4415283203125,199.0762939453125
37,536.885986328125,203.520751953125
38,526.3304443359375,207.96517944335938
39,515.7748413085938,212.40963745117188
40,505.2192687988281,216.85409545898438
41,494.6637268066406,221.29852294921875
42,484.1081237792969,225.74298095703125
43,403.75775146484375,399.41461181640625
44,408.04345703125,409.84320068359375
45,412.3292236328125,420.2717590332031
46,416.61492919921875,430.7003479003906
47,420.900634765625,441.12890625
48,425.18634033203125,451.5574645996094
49,429.4720458984375,461.9860534667969
