a_area,a_conf,a_source,a_x,a_y,ab_b_contact_x,ab_b_contact_y,ab_edge_dist,ab_status,ac_c_contact_x,ac_c_contact_y,ac_clearance,ac_collision_like,ac_raw_dist,ac_status,action_id,action_name,b_area,b_conf,b_edge_x1,b_edge_x2,b_edge_y1,b_edge_y2,b_source,b_x,b_y,c_area,c_conf,c_source,c_x,c_y,contact_valid,cycle,direction,distance_status,ok,stage_x,stage_y,time
9011.5,1.0,sam2,637.7006602674361,423.79964489818565,611.2404168238642,381.7745523701596,49.66138223088683,ab_too_far,554.7649151439498,465.7794665039009,92.95506033151482,False,92.95506033151482,ac_ok,1,UP,8913.5,1.0,595.0,622.0,392.0,375.0,sam2,514.7950861053458,377.50956414427554,27287.5,1.0,sam2,502.10387540082456,488.1708596732325,False,1,up,ac_ok|ab_too_far,True,0.0,0.0,1780572500.9977646
8975.5,1.0,sam2,639.9889142666146,422.9878743988264,618.6597639337323,376.0637436664853,51.54422080998542,ab_too_far,563.4463393283222,473.8661742107502,91.90955973094485,False,91.90955973094485,ac_ok,1,UP,8916.5,1.0,577.0,621.0,395.0,375.0,sam2,513.8201087870801,376.7456401054225,26493.0,1.0,sam2,503.6151624957536,491.27531171756056,False,2,up,ac_ok|ab_too_far,True,0.0,-100.0,1780572501.412353
8937.5,1.0,sam2,640.349613053613,423.13859207459205,618.0,379.0,49.47444303853727,ab_too_far,563.4874204926408,474.5290115194281,92.45956876384481,False,92.45956876384481,ac_ok,1,UP,9045.0,1.0,592.0,618.0,392.0,379.0,sam2,514.9997973097475,376.53193292795277,26607.5,1.0,sam2,503.6710075479971,491.2483823483353,False,3,up,ac_ok|ab_too_far,True,0.0,-200.0,1780572501.8268828
8879.5,1.0,sam2,640.1833811963886,423.4571203333521,612.6852083667219,382.20986108885205,49.573036059467015,ab_too_far,563.5832431618571,474.6723289029516,92.14433642789368,False,92.14433642789368,ac_ok,1,UP,8914.5,1.0,607.0,619.0,386.0,378.0,sam2,513.7002823115897,376.9104081365565,26614.0,1.0,sam2,503.57653866386113,491.2443137696951,False,4,up,ac_ok|ab_too_far,True,0.0,-300.0,1780572502.2261107
8849.0,1.0,sam2,639.9777375974686,423.5016574377519,607.0,386.0,49.93901768783588,ab_too_far,563.5402920844975,474.6080890307268,91.9486292813321,False,91.9486292813321,ac_ok,1,UP,8853.5,1.0,584.0,607.0,394.0,386.0,sam2,513.2791174864931,377.06014570508836,26670.0,1.0,sam2,503.33806399200097,491.3514498187726,False,5,up,ac_ok|ab_too_far,True,0.0,-400.0,1780572502.6260328
8848.5,1.0,sam2,640.1598576029836,423.4961669586182,607.0,386.0,50.05535628520408,ab_too_far,564.6866580183331,469.7161884096832,88.50137986766872,False,88.50137986766872,ac_ok,1,UP,8915.0,1.0,589.0,607.0,393.0,386.0,sam2,513.5022060198168,377.00633763320246,26613.0,1.0,sam2,503.5651874397224,491.3144453212089,False,6,up,ac_ok|ab_too_far,True,0.0,-500.0,1780572503.0252569
8841.0,1.0,sam2,640.1759227839988,423.59563397805675,607.0,386.0,50.14053795864045,ab_too_far,564.0378479806088,474.6529311991535,91.67253696876735,False,91.67253696876735,ac_ok,1,UP,8902.0,1.0,582.0,607.0,394.0,386.0,sam2,513.1002209241368,376.78810005242264,26576.0,1.0,sam2,503.2819837447321,491.09508579169176,False,7,up,ac_ok|ab_too_far,True,0.0,-600.0,1780572503.4265194
8861.5,1.0,sam2,640.0859711486016,423.36310632135263,605.5298609083521,386.50325539841987,50.52497763480062,ab_too_far,562.4598606743317,474.0668663421185,92.71830621623204,False,92.71830621623204,ac_ok,1,UP,8900.0,1.0,605.0,621.0,387.0,372.0,sam2,513.0612734082397,376.7674906367041,26684.0,1.0,sam2,503.5750324788887,491.22606555738764,False,8,up,ac_ok|ab_too_far,True,0.0,-700.0,1780572503.8280256
8853.0,1.0,sam2,640.1651041078353,423.5612598365902,614.7255483247797,379.4660298126271,50.90736989184785,ab_too_far,564.0185914793428,474.6242153639322,91.68269636451838,False,91.68269636451838,ac_ok,1,UP,8915.5,1.0,593.0,619.0,392.0,377.0,sam2,513.1990166937729,376.78118632344416,26618.5,1.0,sam2,503.3502075624096,491.0741464269837,False,9,up,ac_ok|ab_too_far,True,0.0,-800.0,1780572504.224768
8849.5,1.0,sam2,639.942331958491,423.70757293255735,610.0,384.0,49.73162566523269,ab_too_far,562.8904687813178,474.32885513616526,92.19275367951168,False,92.19275367951168,ac_ok,1,UP,8866.5,1.0,589.0,610.0,393.0,384.0,sam2,512.7742626741104,377.1787439613526,26719.0,1.0,sam2,503.11227965118456,490.98411242935737,False,10,up,ac_ok|ab_too_far,True,0.0,-900.0,1780572504.6325781
8860.0,1.0,sam2,640.3680963130173,423.3152182091798,609.0,385.0,49.51780904603711,ab_too_far,563.8362996676932,474.9296857141658,92.31017903559986,False,92.31017903559986,ac_ok,1,UP,8948.0,1.0,583.0,609.0,394.0,385.0,sam2,513.6132282819251,376.68467814036654,26635.5,1.0,sam2,503.5470518668694,490.7939717044295,False,11,up,ac_ok|ab_too_far,True,0.0,-1000.0,1780572505.026197
8870.5,1.0,sam2,639.9663867125115,423.73637337241416,609.4743153011175,384.0966805376019,50.01071552173412,ab_too_far,564.6611899061835,469.9868092062219,88.3740656576179,False,88.3740656576179,ac_ok,1,UP,8891.0,1.0,607.0,620.0,386.0,376.0,sam2,512.7362126494957,377.02706857121433,26578.0,1.0,sam2,503.2593686507638,491.0581495974114,False,12,up,ac_ok|ab_too_far,True,0.0,-1100.0,1780572505.4280555
8809.5,1.0,sam2,639.9367160451785,423.6091151597707,608.0662122199585,385.94397427541975,49.3395566651279,ab_too_far,562.5278589029754,474.17096982490915,92.45881413494659,False,92.45881413494659,ac_ok,1,UP,8929.0,1.0,608.0,621.0,386.0,375.0,sam2,512.9883898906186,377.06669279874563,26624.0,1.0,sam2,503.3490459735577,491.0615422175481,False,13,up,ac_ok|ab_too_far,True,0.0,-1200.0,1780572505.8279626
