index,wavelength,median_filtered_y,lorentz_fit_y,residual
110,502.061000,1181.000000,1203.418779,-22.418779
111,502.096000,1182.000000,1203.419765,-21.419765
112,502.131000,1178.000000,1203.420759,-25.420759
113,502.166000,1178.000000,1203.421760,-25.421760
114,502.201000,1179.000000,1203.422768,-24.422768
115,502.236000,1178.000000,1203.423784,-25.423784
116,502.271000,1171.000000,1203.424807,-32.424807
117,502.305000,1170.000000,1203.425837,-33.425837
118,502.340000,1170.000000,1203.426876,-33.426876
119,502.375000,1170.000000,1203.427921,-33.427921
120,502.410000,1171.000000,1203.428975,-32.428975
121,502.445000,1173.000000,1203.430036,-30.430036
122,502.480000,1175.000000,1203.431106,-28.431106
123,502.515000,1189.000000,1203.432183,-14.432183
124,502.550000,1189.000000,1203.433269,-14.433269
125,502.585000,1189.000000,1203.434362,-14.434362
126,502.620000,1186.000000,1203.435464,-17.435464
127,502.655000,1177.000000,1203.436574,-26.436574
128,502.690000,1177.000000,1203.437692,-26.437692
129,502.724000,1177.000000,1203.438819,-26.438819
130,502.759000,1177.000000,1203.439955,-26.439955
131,502.794000,1179.000000,1203.441099,-24.441099
132,502.829000,1179.000000,1203.442252,-24.442252
133,502.864000,1181.000000,1203.443414,-22.443414
134,502.899000,1189.000000,1203.444584,-14.444584
135,502.934000,1189.000000,1203.445764,-14.445764
136,502.969000,1189.000000,1203.446953,-14.446953
137,503.004000,1189.000000,1203.448151,-14.448151
138,503.039000,1186.000000,1203.449358,-17.449358
139,503.073000,1182.000000,1203.450575,-21.450575
140,503.108000,1182.000000,1203.451801,-21.451801
141,503.143000,1180.000000,1203.453036,-23.453036
142,503.178000,1180.000000,1203.454282,-23.454282
143,503.213000,1180.000000,1203.455537,-23.455537
144,503.248000,1180.000000,1203.456802,-23.456802
145,503.283000,1180.000000,1203.458077,-23.458077
146,503.318000,1186.000000,1203.459362,-17.459362
147,503.353000,1171.000000,1203.460658,-32.460658
148,503.388000,1171.000000,1203.461963,-32.461963
149,503.422000,1177.000000,1203.463279,-26.463279
150,503.457000,1187.000000,1203.464606,-16.464606
151,503.492000,1187.000000,1203.465943,-16.465943
152,503.527000,1194.000000,1203.467291,-9.467291
153,503.562000,1194.000000,1203.468650,-9.468650
154,503.597000,1194.000000,1203.470020,-9.470020
155,503.632000,1188.000000,1203.471401,-15.471401
156,503.667000,1188.000000,1203.472793,-15.472793
157,503.702000,1188.000000,1203.474197,-15.474197
158,503.736000,1178.000000,1203.475612,-25.475612
159,503.771000,1178.000000,1203.477039,-25.477039
