epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
30,523.605,0.39475,0.39466,1.11977,0.71135,0,0.98756,0.84615,0.944,0.89379,0.98756,0.84615,0.944,0.83983,0.12978,0.15351,0.52201,0.30051,0,0.0011884,0.0011884,0.0011884
31,541.057,0.48312,1.25498,1.72586,0.77456,0,0.97749,0.84615,0.9454,0.91521,0.97749,0.84615,0.9454,0.8384,0.12683,0.21421,3.01735,0.29405,0,0.0011719,0.0011719,0.0011719
32,558.441,0.40614,1.1978,1.247,0.76814,0,0.99059,0.84615,0.9414,0.9331,0.99059,0.84615,0.9414,0.85568,0.08647,0.23884,1.62762,0.27906,0,0.0011554,0.0011554,0.0011554
33,575.854,0.44297,0.90061,1.34744,0.79289,0,0.99082,0.84615,0.92,0.87725,0.99082,0.84615,0.92,0.82154,0.11645,0.20403,1.98837,0.29271,0,0.00113889,0.00113889,0.00113889
34,593.19,0.39373,0.48577,1.13711,0.70288,0,0.98819,0.84615,0.9415,0.87827,0.98819,0.84615,0.9415,0.86437,0.11402,0.14929,0.86648,0.2847,0,0.00112239,0.00112239,0.00112239
35,610.623,0.4219,0.99542,1.29839,0.77913,0,1,0.83116,0.95956,0.89314,1,0.83116,0.95956,0.89211,0.13322,0.14956,2.5527,0.29817,0,0.00110589,0.00110589,0.00110589
36,628.027,0.39242,0.34375,1.20441,0.68937,0,1,0.80714,0.95689,0.89661,1,0.80714,0.95689,0.86367,0.12312,0.14839,1.69977,0.29593,0,0.00108938,0.00108938,0.00108938
37,645.464,0.45614,0.79098,1.08706,0.81016,0,0.98467,0.84615,0.96253,0.90938,0.98467,0.84615,0.96253,0.85322,0.11356,0.16276,1.75427,0.28997,0,0.00107288,0.00107288,0.00107288
38,662.931,0.51168,0.44883,1.15389,0.78559,0,0.9822,0.76923,0.9312,0.85705,0.9822,0.76923,0.9312,0.82289,0.13921,0.2806,0.97893,0.3031,0,0.00105638,0.00105638,0.00105638
39,680.388,0.42212,0.57884,1.2369,0.81007,0,0.97139,0.76923,0.91905,0.88741,0.97139,0.76923,0.91905,0.82599,0.11034,0.15187,1.24619,0.29301,0,0.00103987,0.00103987,0.00103987
40,697.843,0.41949,0.6464,1.26148,0.78785,0,0.98474,0.84615,0.928,0.90848,0.98474,0.84615,0.928,0.8252,0.11304,0.17554,2.22342,0.28827,0,0.00102337,0.00102337,0.00102337
41,715.317,0.47758,1.10072,1.2672,0.74424,0,0.99158,0.84615,0.93473,0.93473,0.99158,0.84615,0.93473,0.84616,0.09515,0.15037,1.40299,0.28211,0,0.00100687,0.00100687,0.00100687
42,732.724,0.39008,0.82998,1.1326,0.75544,0,0.98554,0.84615,0.928,0.83832,0.98554,0.84615,0.928,0.83113,0.14299,0.16042,2.20051,0.31433,0,0.000990365,0.000990365,0.000990365
43,750.004,0.3513,0.81297,0.98016,0.72774,0,0.79062,0.87255,0.9454,0.90319,0.79062,0.87255,0.9454,0.8629,0.09373,0.16717,2.82066,0.28306,0,0.000973861,0.000973861,0.000973861
44,767.444,0.37241,0.4777,1.23843,0.80498,0,0.98874,0.84615,0.95036,0.88122,0.98874,0.84615,0.95036,0.86543,0.10724,0.16061,0.96896,0.28229,0,0.000957358,0.000957358,0.000957358
45,784.802,0.35802,0.33546,1.35775,0.67992,0,0.99252,0.84615,0.94833,0.9105,0.99252,0.84615,0.94833,0.86472,0.10358,0.14076,0.52817,0.29156,0,0.000940855,0.000940855,0.000940855
46,802.348,0.3961,1.24024,0.88132,0.75376,0,0.99325,0.84615,0.9505,0.90259,0.99325,0.84615,0.9505,0.87262,0.10459,0.14609,1.13414,0.28236,0,0.000924352,0.000924352,0.000924352
47,819.862,0.44368,0.8026,0.91962,0.82485,0,0.99257,0.84615,0.95956,0.91237,0.99257,0.84615,0.95956,0.86889,0.11633,0.15836,0.42246,0.28908,0,0.000907848,0.000907848,0.000907848
48,837.364,0.39673,1.37822,0.91644,0.76768,0,0.9875,0.84615,0.94292,0.94292,0.9875,0.84615,0.94292,0.86914,0.07839,0.19114,2.43055,0.27202,0,0.000891345,0.000891345,0.000891345
49,855.043,0.43125,0.92616,1.03564,0.76881,0,0.99176,0.84615,0.9448,0.92353,0.99176,0.84615,0.9448,0.86817,0.09336,0.18644,2.05461,0.28025,0,0.000874842,0.000874842,0.000874842
50,872.586,0.35822,0.8834,1.10985,0.76172,0,0.98952,0.84615,0.95333,0.95333,0.98952,0.84615,0.95333,0.88395,0.08306,0.17764,1.8195,0.27313,0,0.000858338,0.000858338,0.000858338
