index,x,y
0,405.0,521.0
1,393.908935546875,523.0
2,385.335693359375,529.6643676757812
3,375.14996337890625,533.8500366210938
4,368.25714111328125,541.742919921875
5,358.36431884765625,544.6356811523438
6,349.0810241699219,551.0
7,340.4573669433594,557.5426635742188
8,335.0,566.6158447265625
9,337.62115478515625,576.6211547851562
10,346.72686767578125,580.0
11,352.421630859375,586.578369140625
12,346.11456298828125,595.8853759765625
13,343.65692138671875,605.6569213867188
14,347.864501953125,615.135498046875
15,345.9599609375,624.0
16,352.54534912109375,626.0
17,362.22216796875,626.0
18,370.3132629394531,625.0
19,378.0,623.5758666992188
20,385.1787109375,621.8212890625
21,393.36444091796875,615.6355590820312
22,401.9495544433594,615.0
23,412.21221923828125,619.0
24,423.30328369140625,621.0
25,433.69305419921875,624.6930541992188
26,444.7574462890625,626.7574462890625
27,456.1147155761719,628.11474609375
28,466.839111328125,631.0
29,478.75860595703125,631.0
30,489.84967041015625,633.0
31,499.7864990234375,637.7864990234375
32,510.37493896484375,641.0
33,520.7437133789062,644.7437744140625
34,531.7286376953125,647.0
35,541.700927734375,651.700927734375
36,552.6681518554688,650.0
37,563.536865234375,651.463134765625
38,567.4490356445312,642.4490356445312
39,562.5562133789062,632.5562133789062
40,556.956298828125,622.956298828125
41,550.0634765625,615.0634155273438
42,545.0,605.2413330078125
43,538.156494140625,596.1565551757812
44,530.1422119140625,588.1422119140625
45,520.7667846679688,582.0
46,511.52789306640625,575.5279541015625
47,501.4837646484375,571.0
48,492.04937744140625,565.0
49,482.43487548828125,559.4348754882812
50,472.76641845703125,554.0
51,461.67529296875,552.0
52,453.65509033203125,544.0
53,445.7418212890625,535.7418212890625
54,437.02044677734375,528.0204467773438
55,427.1802978515625,523.0
56,416.08917236328125,521.0
