a_area,a_conf,a_source,a_x,a_y,ab_b_contact_x,ab_b_contact_y,ab_edge_dist,ab_overlap,ab_overlap_area,ab_status,ac_c_contact_x,ac_c_contact_y,ac_clearance,ac_collision_like,ac_raw_dist,ac_status,action_id,action_name,action_step,b_area,b_conf,b_edge_angle_deg,b_edge_x1,b_edge_x2,b_edge_y1,b_edge_y2,b_source,b_x,b_y,c_area,c_conf,c_contour_points,c_source,c_x,c_y,contact_valid,cycle,direction,distance_status,ok,stage_x,stage_y,static_c_map_name,time
14709.0,1.0,sam2,505.20158859655083,247.83700455503433,490.09037649666016,245.8221762750489,15.244942247372128,False,6415.0,ab_no_overlap,470.0,343.0,101.46500648883523,False,101.46500648883523,ac_too_near,1,UP,20,8582.5,1.0,97.59464336859143,485.0,493.0,284.0,224.0,sam2,457.5138945528692,297.32119623264396,11955.0,1.0,4,full_calibration_static_c,476.00927293615626,403.7905793533563,False,1,up,ac_too_near|ab_no_overlap,True,0.0,0.0,default_static_c_map,1780935689.2844784
14489.5,1.0,sam2,504.9453972416807,243.42541150488285,495.8103833765802,241.34465834672105,9.368992049349758,False,7230.0,ab_no_overlap,470.0,343.0,105.52857178200975,False,105.52857178200975,ac_too_near,1,UP,20,9334.0,1.0,102.83177904253009,464.0,505.0,381.0,201.0,sam2,461.53503321191346,289.3584743946861,11955.0,1.0,4,full_calibration_static_c,476.00927293615626,403.7905793533563,False,2,up,ac_too_near|ab_no_overlap,True,0.0,-5.0,default_static_c_map,1780935698.7704954
14802.5,1.0,sam2,505.40835444463204,238.265034059562,494.7331328450594,236.01761898596777,10.909226861377515,False,8018.0,ab_no_overlap,470.0,343.0,110.55842190905857,False,110.55842190905857,ac_too_near,1,UP,20,10065.5,1.0,101.88865803962798,464.0,496.0,382.0,230.0,sam2,465.2916563177851,280.8032056695312,11955.0,1.0,4,full_calibration_static_c,476.00927293615626,403.7905793533563,False,3,up,ac_too_near|ab_no_overlap,True,0.0,-10.0,default_static_c_map,1780935708.1679313
9248.5,1.0,sam2,535.1297868122758,203.6159377196302,528.8371863469392,183.5940271481048,20.98746586776296,False,3357.0,ab_no_overlap,470.0,343.0,153.84994620730455,False,153.84994620730455,ac_too_far,2,DOWN,20,10700.5,1.0,162.5528115767178,518.0,553.0,187.0,176.0,sam2,469.31202591779197,272.47585003816016,11955.0,1.0,4,full_calibration_static_c,476.00927293615626,403.7905793533563,False,4,down,ac_too_far|ab_no_overlap,True,0.0,-15.0,default_static_c_map,1780935717.2489138
14831.0,1.0,sam2,505.4269210887105,234.49236958622703,501.20616968961406,228.39572867642104,7.415104365826191,False,8660.0,ab_no_overlap,470.0,343.0,114.1445250366292,False,114.1445250366292,ac_too_near,1,UP,20,10671.0,1.0,145.30484646876602,496.0,509.0,232.0,223.0,sam2,469.90377346702894,272.39468340986474,11955.0,1.0,4,full_calibration_static_c,476.00927293615626,403.7905793533563,False,5,up,ac_too_near|ab_no_overlap,True,0.0,-10.0,default_static_c_map,1780935726.5008614
14742.0,1.0,sam2,505.8185682630127,234.39589834034277,501.7220729887396,236.4441459774793,4.580020951390628,False,14984.0,ab_no_overlap,470.0,343.0,114.35829978498835,False,114.35829978498835,ac_too_near,1,UP,20,16814.5,1.0,63.43494882292201,501.0,505.0,235.0,243.0,sam2,498.00628425862595,249.7421967151367,11955.0,1.0,4,full_calibration_static_c,476.00927293615626,403.7905793533563,False,6,up,ac_too_near|ab_no_overlap,True,0.0,-15.0,default_static_c_map,1780935736.0091453
15075.0,1.0,sam2,505.46256495301265,232.94708678828079,501.4015984472515,238.96851988303007,7.262857941296651,False,15295.0,ab_no_overlap,470.0,343.0,115.62541770490104,False,115.62541770490104,ac_too_near,1,UP,20,17120.5,1.0,33.996459148250494,497.0,540.0,236.0,265.0,sam2,497.6860683585954,248.47475248970534,11955.0,1.0,4,full_calibration_static_c,476.00927293615626,403.7905793533563,False,7,up,ac_too_near|ab_no_overlap,True,0.0,-20.0,default_static_c_map,1780935745.4160006
9177.5,1.0,sam2,536.1540361391083,197.5928629801144,579.3837885602533,186.54525958359957,44.619065826170974,False,9777.0,ab_no_overlap,470.0,343.0,159.74852736039298,False,159.74852736039298,ac_too_far,2,DOWN,20,17163.5,1.0,75.66456458047988,591.0,568.0,232.0,142.0,sam2,498.975937308824,245.0172167681417,11955.0,1.0,4,full_calibration_static_c,476.00927293615626,403.7905793533563,False,8,down,ac_too_far|ab_no_overlap,True,0.0,-25.0,default_static_c_map,1780935754.928053
14959.0,1.0,sam2,505.8281190810437,231.42403681172982,503.43151793098195,244.20590961205912,13.004613387420454,False,15257.0,ab_no_overlap,470.0,343.0,117.18724196035878,False,117.18724196035878,ac_too_near,1,UP,20,17281.0,1.0,10.619655276155134,497.0,561.0,243.0,255.0,sam2,498.1278475396871,246.67436298053735,11955.0,1.0,4,full_calibration_static_c,476.00927293615626,403.7905793533563,False,9,up,ac_too_near|ab_no_overlap,True,0.0,-20.0,default_static_c_map,1780935763.7139046
15016.0,1.0,sam2,505.6752686023797,232.33302255372047,503.3020973967637,237.9693041670584,6.115522217768153,False,15300.0,ab_no_overlap,470.0,343.0,116.27512497068011,False,116.27512497068011,ac_too_near,1,UP,20,17332.5,1.0,22.833654177917545,501.0,558.0,237.0,261.0,sam2,497.9829799509592,247.5311889994711,11955.0,1.0,4,full_calibration_static_c,476.00927293615626,403.7905793533563,False,10,up,ac_too_near|ab_no_overlap,True,0.0,-25.0,default_static_c_map,1780935773.3813093
