cycle,time,ok,aligned,reason,center_x,center_y,target_x,target_y,dx,dy,tolerance_px,color_area_px,a_mask_area_px,b_mask_area_px,action_code,action_name,moved,dry_run,ch1_distance,ch2_distance,overlay_path,frame_path,b_mask_path,color_mask_path,a_mask_path,b_mask_path
1,2026-06-22 15:32:54,True,False,moving,519.3757575757576,413.4848484848485,524.706,432.941,5.330242424242442,19.456151515151475,10.0,330,332,27648,-20,下,True,False,20.0,20.0,measurement_output\step9_color_center_align\run_20260622_153248_311\overlays\step9_cycle_0001_20260622_153249_241_action_-20_overlay.png,measurement_output\step9_color_center_align\run_20260622_153248_311\frames\step9_cycle_0001_20260622_153249_241_action_-20_frame.png,measurement_output\step9_color_center_align\run_20260622_153248_311\ab_masks\step9_cycle_0001_20260622_153249_241_action_-20_b_mask.png,measurement_output\step9_color_center_align\run_20260622_153248_311\masks\step9_cycle_0001_20260622_153249_241_action_-20_color_region_mask.png,,measurement_output\step9_color_center_align\run_20260622_153248_311\ab_masks\step9_cycle_0001_20260622_153249_241_action_-20_b_mask.png
2,2026-06-22 15:33:00,True,False,moving,529.320339830085,444.81009495252374,524.706,432.941,-4.614339830084987,-11.869094952523767,10.0,2001,82,18165,20,上,True,False,-20.0,-20.0,measurement_output\step9_color_center_align\run_20260622_153248_311\overlays\step9_cycle_0002_20260622_153255_137_action_20_overlay.png,measurement_output\step9_color_center_align\run_20260622_153248_311\frames\step9_cycle_0002_20260622_153255_137_action_20_frame.png,measurement_output\step9_color_center_align\run_20260622_153248_311\ab_masks\step9_cycle_0002_20260622_153255_137_action_20_b_mask.png,measurement_output\step9_color_center_align\run_20260622_153248_311\masks\step9_cycle_0002_20260622_153255_137_action_20_color_region_mask.png,,measurement_output\step9_color_center_align\run_20260622_153248_311\ab_masks\step9_cycle_0002_20260622_153255_137_action_20_b_mask.png
3,2026-06-22 15:33:01,True,True,center_aligned,532.3739679456047,442.2068965517241,524.706,432.941,-7.667967945604687,-9.265896551724154,10.0,2059,287,17802,0,,False,,,,measurement_output\step9_color_center_align\run_20260622_153248_311\overlays\step9_cycle_0003_20260622_153301_139_action_0_overlay.png,measurement_output\step9_color_center_align\run_20260622_153248_311\frames\step9_cycle_0003_20260622_153301_139_action_0_frame.png,measurement_output\step9_color_center_align\run_20260622_153248_311\ab_masks\step9_cycle_0003_20260622_153301_139_action_0_b_mask.png,measurement_output\step9_color_center_align\run_20260622_153248_311\masks\step9_cycle_0003_20260622_153301_139_action_0_color_region_mask.png,measurement_output\step9_color_center_align\run_20260622_153248_311\ab_masks\step9_cycle_0003_20260622_153301_139_action_0_a_mask.png,measurement_output\step9_color_center_align\run_20260622_153248_311\ab_masks\step9_cycle_0003_20260622_153301_139_action_0_b_mask.png
1,2026-06-22 15:33:34,True,True,center_aligned,529.0478208232446,435.69370460048424,524.706,432.941,-4.341820823244575,-2.7527046004842646,10.0,1652,83,20230,0,,False,,,,measurement_output\step9_color_center_align\run_20260622_153248_311\overlays\step9_cycle_0001_20260622_153334_038_action_0_overlay.png,measurement_output\step9_color_center_align\run_20260622_153248_311\frames\step9_cycle_0001_20260622_153334_038_action_0_frame.png,measurement_output\step9_color_center_align\run_20260622_153248_311\ab_masks\step9_cycle_0001_20260622_153334_038_action_0_b_mask.png,measurement_output\step9_color_center_align\run_20260622_153248_311\masks\step9_cycle_0001_20260622_153334_038_action_0_color_region_mask.png,measurement_output\step9_color_center_align\run_20260622_153248_311\ab_masks\step9_cycle_0001_20260622_153334_038_action_0_a_mask.png,measurement_output\step9_color_center_align\run_20260622_153248_311\ab_masks\step9_cycle_0001_20260622_153334_038_action_0_b_mask.png
