x,y,lorentz_fit_y,residual
503.073,1182,1203.446176,-21.44617649
503.108,1182,1203.447402,-21.44740155
503.143,1180,1203.448636,-23.44863625
503.178,1180,1203.449881,-23.4498807
503.213,1180,1203.451135,-23.451135
503.248,1180,1203.452399,-23.45239926
503.283,1180,1203.453674,-23.45367357
503.318,1186,1203.454958,-17.45495805
503.353,1171,1203.456253,-32.45625281
503.388,1171,1203.457558,-32.45755795
503.422,1177,1203.458836,-26.45883586
503.457,1187,1203.460162,-16.4601618
503.492,1187,1203.461498,-16.46149846
503.527,1194,1203.462846,-9.462845964
503.562,1194,1203.464204,-9.464204417
503.597,1194,1203.465574,-9.465573942
503.632,1188,1203.466955,-15.46695466
503.667,1188,1203.468347,-15.46834669
503.702,1188,1203.46975,-15.46975017
503.736,1178,1203.471125,-25.47112461
503.771,1178,1203.472551,-25.472551
503.806,1179,1203.473989,-24.47398921
503.841,1178,1203.475439,-25.47543937
503.876,1179,1203.476902,-24.47690161
503.911,1193,1203.478376,-10.47837606
503.946,1194,1203.479863,-9.479862865
503.981,1194,1203.481362,-9.481362159
504.015,1194,1203.482831,-9.482830708
504.05,1194,1203.484355,-9.484355036
504.085,1185,1203.485892,-18.48589228
504.12,1183,1203.487443,-20.48744257
504.155,1183,1203.489006,-20.48900608
504.19,1189,1203.490583,-14.49058294
504.225,1189,1203.492173,-14.49217331
504.26,1190,1203.493777,-13.49377734
504.294,1192,1203.495349,-11.49534877
504.329,1192,1203.49698,-11.4969802
504.364,1190,1203.498626,-13.49862577
504.399,1190,1203.500286,-13.50028564
504.434,1190,1203.50196,-13.50195997
504.469,1185,1203.503649,-18.50364893
504.504,1185,1203.505353,-18.5053527
504.539,1185,1203.507071,-18.50707145
504.573,1184,1203.508756,-19.5087556
504.608,1184,1203.510504,-19.5105044
504.643,1182,1203.512269,-21.5122687
504.678,1182,1203.514049,-21.5140487
504.713,1194,1203.515845,-9.515844573
504.748,1202,1203.517657,-1.517656516
504.783,1197,1203.519485,-6.51948472
504.817,1197,1203.521276,-6.521276444
504.852,1194,1203.523137,-9.523137278
504.887,1189,1203.525015,-14.52501496
504.922,1189,1203.52691,-14.52690969
504.957,1189,1203.528822,-14.52882169
504.992,1195,1203.530751,-8.530751147
505.027,1195,1203.532698,-8.53269829
505.061,1208,1203.534607,4.465393062
505.096,1209,1203.53659,5.463410422
505.131,1208,1203.538591,4.461409447
505.166,1199,1203.54061,-4.54061009
505.201,1199,1203.542648,-4.542648418
505.236,1187,1203.544706,-16.54470577
505.271,1187,1203.546782,-16.54678239
505.305,1192,1203.548818,-11.54881835
505.34,1187,1203.550934,-16.55093365
505.375,1192,1203.553069,-11.55306894
505.41,1192,1203.555224,-11.55522447
505.445,1187,1203.557401,-16.55740051
505.48,1187,1203.559597,-16.5595973
505.514,1190,1203.561751,-13.56175145
505.549,1190,1203.56399,-13.56398995
505.584,1197,1203.56625,-6.566250003
505.619,1197,1203.568532,-6.568531892
505.654,1193,1203.570836,-10.5708359
505.689,1206,1203.573162,2.426837693
505.724,1199,1203.575511,-4.575511411
505.758,1195,1203.577815,-8.57781541
505.793,1198,1203.58021,-5.580210126
505.828,1199,1203.582628,-4.582628429
505.863,1198,1203.585071,-5.585070631
505.898,1196,1203.587537,-7.587537047
505.933,1196,1203.590028,-7.590027997
505.967,1192,1203.592472,-11.59247158
506.002,1187,1203.595012,-16.59501186
506.037,1187,1203.597578,-16.59757766
506.072,1187,1203.600169,-16.60016932
506.107,1187,1203.602787,-16.60278719
506.142,1187,1203.605432,-16.60543162
506.176,1187,1203.608026,-16.60802628
506.211,1187,1203.610724,-16.61072415
506.246,1187,1203.61345,-16.61344967
506.281,1187,1203.616203,-16.61620322
506.316,1191,1203.618985,-12.61898519
506.35,1196,1203.621715,-7.621715256
506.385,1201,1203.624554,-2.6245544
506.42,1203,1203.627423,-0.627423146
506.455,1206,1203.630322,2.369678095
506.49,1206,1203.633251,2.366748902
506.525,1206,1203.636211,2.363788849
506.559,1213,1203.639117,9.360883407
506.594,1191,1203.642139,-12.64213876
506.629,1186,1203.645193,-17.64519311
506.664,1186,1203.64828,-17.64828009
506.699,1194,1203.6514,-9.651400159
506.734,1186,1203.654554,-17.6545538
506.768,1194,1203.65765,-9.657649949
506.803,1195,1203.660871,-8.6608712
506.838,1196,1203.664127,-7.664127481
506.873,1207,1203.667419,3.332580696
506.908,1207,1203.670747,3.329252815
506.942,1207,1203.674015,3.325984988
506.977,1205,1203.677416,1.322584465
507.012,1205,1203.680854,1.319146286
507.047,1184,1203.68433,-19.68433011
507.082,1200,1203.687845,-3.687845278
507.116,1200,1203.691298,-3.691297699
507.151,1200,1203.694891,-3.694891027
507.186,1196,1203.698525,-7.698524885
507.221,1196,1203.7022,-7.702199883
507.256,1190,1203.705917,-13.70591665
507.29,1190,1203.709568,-13.70956781
507.325,1196,1203.713369,-7.713368771
507.36,1190,1203.717213,-13.71721342
507.395,1189,1203.721102,-14.72110242
507.43,1201,1203.725036,-2.72503646
507.464,1201,1203.728902,-2.728901886
507.499,1205,1203.732927,1.267073231
507.534,1205,1203.736999,1.263001199
507.569,1209,1203.741119,5.258881279
507.604,1210,1203.745287,6.25471272
507.638,1210,1203.749384,6.25061596
507.673,1208,1203.753651,4.24634925
507.708,1208,1203.757968,4.242031575
507.743,1208,1203.762338,4.237662122
507.778,1208,1203.76676,4.233240062
507.812,1212,1203.771107,8.228893168
507.847,1212,1203.775635,8.2243649
507.882,1214,1203.780219,10.21978146
507.917,1214,1203.784858,10.21514194
507.952,1208,1203.789555,4.210445443
507.986,1203,1203.794172,-0.7941723288
508.021,1208,1203.798984,4.201016063
