index,x,y
0,391.24163818359375,288.0201416015625
1,384.24163818359375,297.5201416015625
2,377.24163818359375,307.0201416015625
3,370.24163818359375,316.5201416015625
4,363.24163818359375,326.0201416015625
5,356.24163818359375,335.5201416015625
6,379.0326232910156,553.268310546875
7,387.4612121582031,559.6968994140625
8,395.8898010253906,566.12548828125
9,404.318359375,572.5540771484375
10,412.7469177246094,578.982666015625
11,421.1755065917969,585.4111938476562
12,429.6040954589844,591.8397827148438
13,656.539794921875,557.9531860351562
14,662.1112670898438,548.9531860351562
15,667.6826782226562,539.9531860351562
16,673.2540893554688,530.9531860351562
17,678.8255615234375,521.9531860351562
18,684.39697265625,512.9531860351562
19,689.9683837890625,503.95318603515625
20,653.7240600585938,292.9090270996094
21,644.3906860351562,286.4090270996094
22,635.0574340820312,279.9090270996094
23,625.7240600585938,273.4090270996094
24,616.3907470703125,266.9090270996094
25,607.057373046875,260.4090270996094
