cycle,time,ok,aligned,reason,center_x,center_y,target_x,target_y,dx,dy,tolerance_px,color_area_px,a_mask_area_px,b_mask_area_px,step9_c_source,step9_c_area_px,step9_c_center_x,step9_c_center_y,step9_c_dirty_before_update,step9_c_update_ok,step9_c_update_reason,action_code,action_name,moved,dry_run,ch1_distance,ch2_distance,overlay_path,frame_path,b_mask_path,color_mask_path,a_mask_path,b_mask_path,c_mask_path,c_raw_mask_path
1,2026-06-27 22:13:41,True,False,moving,516.2439716312057,405.8212765957447,495.294,401.176,-20.9499716312057,-4.64527659574469,10.0,705,8220,19589,dynamic_sam2,13455,525.0,419.0,True,True,ok,-1,右上,True,False,-20.0,0.0,measurement_output\step9_color_center_align\run_20260627_221240_685\overlays\step9_cycle_0001_20260627_221338_527_action_-1_overlay.png,measurement_output\step9_color_center_align\run_20260627_221240_685\frames\step9_cycle_0001_20260627_221338_527_action_-1_frame.png,measurement_output\step9_color_center_align\run_20260627_221240_685\ab_masks\step9_cycle_0001_20260627_221338_527_action_-1_b_mask.png,measurement_output\step9_color_center_align\run_20260627_221240_685\masks\step9_cycle_0001_20260627_221338_527_action_-1_color_region_mask.png,measurement_output\step9_color_center_align\run_20260627_221240_685\ab_masks\step9_cycle_0001_20260627_221338_527_action_-1_a_mask.png,measurement_output\step9_color_center_align\run_20260627_221240_685\ab_masks\step9_cycle_0001_20260627_221338_527_action_-1_b_mask.png,measurement_output\step9_color_center_align\run_20260627_221240_685\c_masks\step9_cycle_0001_20260627_221338_527_action_-1_current_c_mask.png,measurement_output\step9_color_center_align\run_20260627_221240_685\c_masks\step9_cycle_0001_20260627_221338_527_action_-1_current_c_raw_mask.png
2,2026-06-27 22:13:44,True,False,moving,519.0395314787702,405.9648609077599,495.294,401.176,-23.745531478770204,-4.788860907759897,10.0,683,8241,19589,dynamic_sam2,14518,529.0,417.5,True,True,ok,-1,右上,True,False,-20.0,0.0,measurement_output\step9_color_center_align\run_20260627_221240_685\overlays\step9_cycle_0002_20260627_221342_234_action_-1_overlay.png,measurement_output\step9_color_center_align\run_20260627_221240_685\frames\step9_cycle_0002_20260627_221342_234_action_-1_frame.png,measurement_output\step9_color_center_align\run_20260627_221240_685\ab_masks\step9_cycle_0002_20260627_221342_234_action_-1_b_mask.png,measurement_output\step9_color_center_align\run_20260627_221240_685\masks\step9_cycle_0002_20260627_221342_234_action_-1_color_region_mask.png,measurement_output\step9_color_center_align\run_20260627_221240_685\ab_masks\step9_cycle_0002_20260627_221342_234_action_-1_a_mask.png,measurement_output\step9_color_center_align\run_20260627_221240_685\ab_masks\step9_cycle_0002_20260627_221342_234_action_-1_b_mask.png,measurement_output\step9_color_center_align\run_20260627_221240_685\c_masks\step9_cycle_0002_20260627_221342_234_action_-1_current_c_mask.png,measurement_output\step9_color_center_align\run_20260627_221240_685\c_masks\step9_cycle_0002_20260627_221342_234_action_-1_current_c_raw_mask.png
3,2026-06-27 22:13:48,True,False,moving,521.1288515406162,404.44117647058823,495.294,401.176,-25.834851540616228,-3.2651764705882442,10.0,714,8206,19704,dynamic_sam2,14274,531.0,415.5,True,True,ok,-1,右上,True,False,-20.0,0.0,measurement_output\step9_color_center_align\run_20260627_221240_685\overlays\step9_cycle_0003_20260627_221345_916_action_-1_overlay.png,measurement_output\step9_color_center_align\run_20260627_221240_685\frames\step9_cycle_0003_20260627_221345_916_action_-1_frame.png,measurement_output\step9_color_center_align\run_20260627_221240_685\ab_masks\step9_cycle_0003_20260627_221345_916_action_-1_b_mask.png,measurement_output\step9_color_center_align\run_20260627_221240_685\masks\step9_cycle_0003_20260627_221345_916_action_-1_color_region_mask.png,measurement_output\step9_color_center_align\run_20260627_221240_685\ab_masks\step9_cycle_0003_20260627_221345_916_action_-1_a_mask.png,measurement_output\step9_color_center_align\run_20260627_221240_685\ab_masks\step9_cycle_0003_20260627_221345_916_action_-1_b_mask.png,measurement_output\step9_color_center_align\run_20260627_221240_685\c_masks\step9_cycle_0003_20260627_221345_916_action_-1_current_c_mask.png,measurement_output\step9_color_center_align\run_20260627_221240_685\c_masks\step9_cycle_0003_20260627_221345_916_action_-1_current_c_raw_mask.png
4,2026-06-27 22:13:52,True,False,moving,524.1810218978102,402.9824817518248,495.294,401.176,-28.8870218978102,-1.8064817518248333,10.0,685,8189,19608,dynamic_sam2,14399,534.0,415.0,True,True,ok,-1,右上,True,False,-20.0,0.0,measurement_output\step9_color_center_align\run_20260627_221240_685\overlays\step9_cycle_0004_20260627_221349_558_action_-1_overlay.png,measurement_output\step9_color_center_align\run_20260627_221240_685\frames\step9_cycle_0004_20260627_221349_558_action_-1_frame.png,measurement_output\step9_color_center_align\run_20260627_221240_685\ab_masks\step9_cycle_0004_20260627_221349_558_action_-1_b_mask.png,measurement_output\step9_color_center_align\run_20260627_221240_685\masks\step9_cycle_0004_20260627_221349_558_action_-1_color_region_mask.png,measurement_output\step9_color_center_align\run_20260627_221240_685\ab_masks\step9_cycle_0004_20260627_221349_558_action_-1_a_mask.png,measurement_output\step9_color_center_align\run_20260627_221240_685\ab_masks\step9_cycle_0004_20260627_221349_558_action_-1_b_mask.png,measurement_output\step9_color_center_align\run_20260627_221240_685\c_masks\step9_cycle_0004_20260627_221349_558_action_-1_current_c_mask.png,measurement_output\step9_color_center_align\run_20260627_221240_685\c_masks\step9_cycle_0004_20260627_221349_558_action_-1_current_c_raw_mask.png
5,2026-06-27 22:13:55,True,False,moving,527.2890173410404,401.13583815028903,495.294,401.176,-31.995017341040466,0.040161849710955266,10.0,692,8128,19519,dynamic_sam2,14160,536.5,412.5,True,True,ok,-1,右上,True,False,-20.0,0.0,measurement_output\step9_color_center_align\run_20260627_221240_685\overlays\step9_cycle_0005_20260627_221353_303_action_-1_overlay.png,measurement_output\step9_color_center_align\run_20260627_221240_685\frames\step9_cycle_0005_20260627_221353_303_action_-1_frame.png,measurement_output\step9_color_center_align\run_20260627_221240_685\ab_masks\step9_cycle_0005_20260627_221353_303_action_-1_b_mask.png,measurement_output\step9_color_center_align\run_20260627_221240_685\masks\step9_cycle_0005_20260627_221353_303_action_-1_color_region_mask.png,measurement_output\step9_color_center_align\run_20260627_221240_685\ab_masks\step9_cycle_0005_20260627_221353_303_action_-1_a_mask.png,measurement_output\step9_color_center_align\run_20260627_221240_685\ab_masks\step9_cycle_0005_20260627_221353_303_action_-1_b_mask.png,measurement_output\step9_color_center_align\run_20260627_221240_685\c_masks\step9_cycle_0005_20260627_221353_303_action_-1_current_c_mask.png,measurement_output\step9_color_center_align\run_20260627_221240_685\c_masks\step9_cycle_0005_20260627_221353_303_action_-1_current_c_raw_mask.png
6,2026-06-27 22:13:59,True,False,moving,529.4287790697674,399.60901162790697,495.294,401.176,-34.13477906976743,1.5669883720930216,10.0,688,8106,19618,dynamic_sam2,14518,539.0,410.5,True,True,ok,-1,右上,True,False,-20.0,0.0,measurement_output\step9_color_center_align\run_20260627_221240_685\overlays\step9_cycle_0006_20260627_221357_090_action_-1_overlay.png,measurement_output\step9_color_center_align\run_20260627_221240_685\frames\step9_cycle_0006_20260627_221357_090_action_-1_frame.png,measurement_output\step9_color_center_align\run_20260627_221240_685\ab_masks\step9_cycle_0006_20260627_221357_090_action_-1_b_mask.png,measurement_output\step9_color_center_align\run_20260627_221240_685\masks\step9_cycle_0006_20260627_221357_090_action_-1_color_region_mask.png,measurement_output\step9_color_center_align\run_20260627_221240_685\ab_masks\step9_cycle_0006_20260627_221357_090_action_-1_a_mask.png,measurement_output\step9_color_center_align\run_20260627_221240_685\ab_masks\step9_cycle_0006_20260627_221357_090_action_-1_b_mask.png,measurement_output\step9_color_center_align\run_20260627_221240_685\c_masks\step9_cycle_0006_20260627_221357_090_action_-1_current_c_mask.png,measurement_output\step9_color_center_align\run_20260627_221240_685\c_masks\step9_cycle_0006_20260627_221357_090_action_-1_current_c_raw_mask.png
7,2026-06-27 22:14:03,True,False,moving,532.6881405563689,397.2181551976574,495.294,401.176,-37.39414055636894,3.9578448023426063,10.0,683,8138,19642,dynamic_sam2,14396,542.5,408.5,True,True,ok,-1,右上,True,False,-20.0,0.0,measurement_output\step9_color_center_align\run_20260627_221240_685\overlays\step9_cycle_0007_20260627_221400_784_action_-1_overlay.png,measurement_output\step9_color_center_align\run_20260627_221240_685\frames\step9_cycle_0007_20260627_221400_784_action_-1_frame.png,measurement_output\step9_color_center_align\run_20260627_221240_685\ab_masks\step9_cycle_0007_20260627_221400_784_action_-1_b_mask.png,measurement_output\step9_color_center_align\run_20260627_221240_685\masks\step9_cycle_0007_20260627_221400_784_action_-1_color_region_mask.png,measurement_output\step9_color_center_align\run_20260627_221240_685\ab_masks\step9_cycle_0007_20260627_221400_784_action_-1_a_mask.png,measurement_output\step9_color_center_align\run_20260627_221240_685\ab_masks\step9_cycle_0007_20260627_221400_784_action_-1_b_mask.png,measurement_output\step9_color_center_align\run_20260627_221240_685\c_masks\step9_cycle_0007_20260627_221400_784_action_-1_current_c_mask.png,measurement_output\step9_color_center_align\run_20260627_221240_685\c_masks\step9_cycle_0007_20260627_221400_784_action_-1_current_c_raw_mask.png
8,2026-06-27 22:14:07,True,False,moving,535.6235465116279,394.7848837209302,495.294,401.176,-40.32954651162788,6.391116279069763,10.0,688,8122,19675,dynamic_sam2,13923,545.0,407.0,True,True,ok,-1,右上,True,False,-20.0,0.0,measurement_output\step9_color_center_align\run_20260627_221240_685\overlays\step9_cycle_0008_20260627_221404_508_action_-1_overlay.png,measurement_output\step9_color_center_align\run_20260627_221240_685\frames\step9_cycle_0008_20260627_221404_508_action_-1_frame.png,measurement_output\step9_color_center_align\run_20260627_221240_685\ab_masks\step9_cycle_0008_20260627_221404_508_action_-1_b_mask.png,measurement_output\step9_color_center_align\run_20260627_221240_685\masks\step9_cycle_0008_20260627_221404_508_action_-1_color_region_mask.png,measurement_output\step9_color_center_align\run_20260627_221240_685\ab_masks\step9_cycle_0008_20260627_221404_508_action_-1_a_mask.png,measurement_output\step9_color_center_align\run_20260627_221240_685\ab_masks\step9_cycle_0008_20260627_221404_508_action_-1_b_mask.png,measurement_output\step9_color_center_align\run_20260627_221240_685\c_masks\step9_cycle_0008_20260627_221404_508_action_-1_current_c_mask.png,measurement_output\step9_color_center_align\run_20260627_221240_685\c_masks\step9_cycle_0008_20260627_221404_508_action_-1_current_c_raw_mask.png
9,2026-06-27 22:14:10,True,False,moving,538.7360912981455,393.34094151212554,495.294,401.176,-43.442091298145556,7.8350584878744485,10.0,701,8173,19654,dynamic_sam2,14400,547.5,404.5,True,True,ok,-1,右上,True,False,-20.0,0.0,measurement_output\step9_color_center_align\run_20260627_221240_685\overlays\step9_cycle_0009_20260627_221408_167_action_-1_overlay.png,measurement_output\step9_color_center_align\run_20260627_221240_685\frames\step9_cycle_0009_20260627_221408_167_action_-1_frame.png,measurement_output\step9_color_center_align\run_20260627_221240_685\ab_masks\step9_cycle_0009_20260627_221408_167_action_-1_b_mask.png,measurement_output\step9_color_center_align\run_20260627_221240_685\masks\step9_cycle_0009_20260627_221408_167_action_-1_color_region_mask.png,measurement_output\step9_color_center_align\run_20260627_221240_685\ab_masks\step9_cycle_0009_20260627_221408_167_action_-1_a_mask.png,measurement_output\step9_color_center_align\run_20260627_221240_685\ab_masks\step9_cycle_0009_20260627_221408_167_action_-1_b_mask.png,measurement_output\step9_color_center_align\run_20260627_221240_685\c_masks\step9_cycle_0009_20260627_221408_167_action_-1_current_c_mask.png,measurement_output\step9_color_center_align\run_20260627_221240_685\c_masks\step9_cycle_0009_20260627_221408_167_action_-1_current_c_raw_mask.png
10,2026-06-27 22:14:14,True,False,moving,542.1958456973293,392.5148367952522,495.294,401.176,-46.90184569732935,8.661163204747766,10.0,674,8178,19737,dynamic_sam2,14760,549.0,403.5,True,True,ok,-1,右上,True,False,-20.0,0.0,measurement_output\step9_color_center_align\run_20260627_221240_685\overlays\step9_cycle_0010_20260627_221411_908_action_-1_overlay.png,measurement_output\step9_color_center_align\run_20260627_221240_685\frames\step9_cycle_0010_20260627_221411_908_action_-1_frame.png,measurement_output\step9_color_center_align\run_20260627_221240_685\ab_masks\step9_cycle_0010_20260627_221411_908_action_-1_b_mask.png,measurement_output\step9_color_center_align\run_20260627_221240_685\masks\step9_cycle_0010_20260627_221411_908_action_-1_color_region_mask.png,measurement_output\step9_color_center_align\run_20260627_221240_685\ab_masks\step9_cycle_0010_20260627_221411_908_action_-1_a_mask.png,measurement_output\step9_color_center_align\run_20260627_221240_685\ab_masks\step9_cycle_0010_20260627_221411_908_action_-1_b_mask.png,measurement_output\step9_color_center_align\run_20260627_221240_685\c_masks\step9_cycle_0010_20260627_221411_908_action_-1_current_c_mask.png,measurement_output\step9_color_center_align\run_20260627_221240_685\c_masks\step9_cycle_0010_20260627_221411_908_action_-1_current_c_raw_mask.png
