cycle,time,ok,aligned,reason,center_x,center_y,target_x,target_y,dx,dy,tolerance_px,overlap_area_px,b_mask_area_px,c_mask_area_px,action_code,action_name,moved,dry_run,ch1_distance,ch2_distance,overlay_path,frame_path,b_mask_path,c_mask_path,overlap_mask_path
1,2026-06-10 16:17:41,True,False,moving,557.817880794702,395.52649006622516,555.294,403.529,-2.523880794701995,8.002509933774832,5.0,302,,,-20,下,True,False,20.0,20.0,measurement_output\step9_bc_center_align\run_20260610_161314_415\overlays\step9_cycle_0001_20260610_161736_165_action_-20_overlay.png,measurement_output\step9_bc_center_align\run_20260610_161314_415\frames\step9_cycle_0001_20260610_161736_165_action_-20_frame.png,,,measurement_output\step9_bc_center_align\run_20260610_161314_415\masks\step9_cycle_0001_20260610_161736_165_action_-20_color_region_mask.png
2,2026-06-10 16:17:46,True,False,moving,554.1081794195251,396.0316622691293,555.294,403.529,1.1858205804749105,7.497337730870697,5.0,379,,,-20,下,True,False,20.0,20.0,measurement_output\step9_bc_center_align\run_20260610_161314_415\overlays\step9_cycle_0002_20260610_161741_246_action_-20_overlay.png,measurement_output\step9_bc_center_align\run_20260610_161314_415\frames\step9_cycle_0002_20260610_161741_246_action_-20_frame.png,,,measurement_output\step9_bc_center_align\run_20260610_161314_415\masks\step9_cycle_0002_20260610_161741_246_action_-20_color_region_mask.png
3,2026-06-10 16:17:51,True,False,moving,561.8100775193799,406.015503875969,555.294,403.529,-6.516077519379905,-2.4865038759689924,5.0,258,,,-10,左,True,False,20.0,-20.0,measurement_output\step9_bc_center_align\run_20260610_161314_415\overlays\step9_cycle_0003_20260610_161746_362_action_-10_overlay.png,measurement_output\step9_bc_center_align\run_20260610_161314_415\frames\step9_cycle_0003_20260610_161746_362_action_-10_frame.png,,,measurement_output\step9_bc_center_align\run_20260610_161314_415\masks\step9_cycle_0003_20260610_161746_362_action_-10_color_region_mask.png
4,2026-06-10 16:17:56,True,False,moving,563.831715210356,405.34304207119743,555.294,403.529,-8.537715210356055,-1.8140420711974343,5.0,309,,,-10,左,True,False,20.0,-20.0,measurement_output\step9_bc_center_align\run_20260610_161314_415\overlays\step9_cycle_0004_20260610_161751_448_action_-10_overlay.png,measurement_output\step9_bc_center_align\run_20260610_161314_415\frames\step9_cycle_0004_20260610_161751_448_action_-10_frame.png,,,measurement_output\step9_bc_center_align\run_20260610_161314_415\masks\step9_cycle_0004_20260610_161751_448_action_-10_color_region_mask.png
5,2026-06-10 16:18:01,True,False,moving,566.4052044609665,407.1710037174721,555.294,403.529,-11.111204460966519,-3.6420037174721074,5.0,269,,,-10,左,True,False,20.0,-20.0,measurement_output\step9_bc_center_align\run_20260610_161314_415\overlays\step9_cycle_0005_20260610_161756_560_action_-10_overlay.png,measurement_output\step9_bc_center_align\run_20260610_161314_415\frames\step9_cycle_0005_20260610_161756_560_action_-10_frame.png,,,measurement_output\step9_bc_center_align\run_20260610_161314_415\masks\step9_cycle_0005_20260610_161756_560_action_-10_color_region_mask.png
6,2026-06-10 16:18:06,True,False,moving,560.875,403.0882352941176,555.294,403.529,-5.581000000000017,0.4407647058823727,5.0,272,,,-10,左,True,False,20.0,-20.0,measurement_output\step9_bc_center_align\run_20260610_161314_415\overlays\step9_cycle_0006_20260610_161801_662_action_-10_overlay.png,measurement_output\step9_bc_center_align\run_20260610_161314_415\frames\step9_cycle_0006_20260610_161801_662_action_-10_frame.png,,,measurement_output\step9_bc_center_align\run_20260610_161314_415\masks\step9_cycle_0006_20260610_161801_662_action_-10_color_region_mask.png
7,2026-06-10 16:18:11,True,False,moving,561.92578125,403.17578125,555.294,403.529,-6.631781250000017,0.35321874999999636,5.0,256,,,-10,左,True,False,20.0,-20.0,measurement_output\step9_bc_center_align\run_20260610_161314_415\overlays\step9_cycle_0007_20260610_161806_727_action_-10_overlay.png,measurement_output\step9_bc_center_align\run_20260610_161314_415\frames\step9_cycle_0007_20260610_161806_727_action_-10_frame.png,,,measurement_output\step9_bc_center_align\run_20260610_161314_415\masks\step9_cycle_0007_20260610_161806_727_action_-10_color_region_mask.png
8,2026-06-10 16:18:14,True,False,moving,547.8258575197889,391.1240105540897,555.294,403.529,7.4681424802111,12.404989445910303,5.0,379,,,-2,右下,True,False,0.0,20.0,measurement_output\step9_bc_center_align\run_20260610_161314_415\overlays\step9_cycle_0008_20260610_161811_812_action_-2_overlay.png,measurement_output\step9_bc_center_align\run_20260610_161314_415\frames\step9_cycle_0008_20260610_161811_812_action_-2_frame.png,,,measurement_output\step9_bc_center_align\run_20260610_161314_415\masks\step9_cycle_0008_20260610_161811_812_action_-2_color_region_mask.png
9,2026-06-10 16:18:14,True,True,center_aligned,557.1355932203389,400.43050847457624,555.294,403.529,-1.8415932203389502,3.0984915254237535,5.0,295,,,0,,False,,,,measurement_output\step9_bc_center_align\run_20260610_161314_415\overlays\step9_cycle_0009_20260610_161814_496_action_0_overlay.png,measurement_output\step9_bc_center_align\run_20260610_161314_415\frames\step9_cycle_0009_20260610_161814_496_action_0_frame.png,,,measurement_output\step9_bc_center_align\run_20260610_161314_415\masks\step9_cycle_0009_20260610_161814_496_action_0_color_region_mask.png
