cycle,time,ok,aligned,reason,center_x,center_y,target_x,target_y,dx,dy,tolerance_px,overlap_area_px,b_mask_area_px,c_mask_area_px,action_code,action_name,moved,dry_run,ch1_distance,ch2_distance,overlay_path,frame_path,b_mask_path,c_mask_path,overlap_mask_path
1,2026-06-08 16:39:10,True,False,moving,554.7763558805607,335.926873857404,571.765,371.765,16.9886441194393,35.83812614259597,5.0,1641,,,-2,右下,True,False,20.0,-20.0,measurement_output\step9_bc_center_align\run_20260608_163905_792\overlays\step9_cycle_0001_20260608_163910_324_action_-2_overlay.png,measurement_output\step9_bc_center_align\run_20260608_163905_792\frames\step9_cycle_0001_20260608_163910_324_action_-2_frame.png,,,measurement_output\step9_bc_center_align\run_20260608_163905_792\masks\step9_cycle_0001_20260608_163910_324_action_-2_color_region_mask.png
2,2026-06-08 16:39:11,True,False,moving,554.6381418092909,336.51344743276286,571.765,371.765,17.126858190709072,35.25155256723713,5.0,1636,,,-2,右下,True,False,20.0,-20.0,measurement_output\step9_bc_center_align\run_20260608_163905_792\overlays\step9_cycle_0002_20260608_163910_954_action_-2_overlay.png,measurement_output\step9_bc_center_align\run_20260608_163905_792\frames\step9_cycle_0002_20260608_163910_954_action_-2_frame.png,,,measurement_output\step9_bc_center_align\run_20260608_163905_792\masks\step9_cycle_0002_20260608_163910_954_action_-2_color_region_mask.png
3,2026-06-08 16:39:11,True,False,moving,554.9450151057401,335.76012084592145,571.765,371.765,16.819984894259846,36.00487915407854,5.0,1655,,,-2,右下,True,False,20.0,-20.0,measurement_output\step9_bc_center_align\run_20260608_163905_792\overlays\step9_cycle_0003_20260608_163911_322_action_-2_overlay.png,measurement_output\step9_bc_center_align\run_20260608_163905_792\frames\step9_cycle_0003_20260608_163911_322_action_-2_frame.png,,,measurement_output\step9_bc_center_align\run_20260608_163905_792\masks\step9_cycle_0003_20260608_163911_322_action_-2_color_region_mask.png
4,2026-06-08 16:39:11,True,False,moving,554.7295980511572,335.53105968331306,571.765,371.765,17.035401948842832,36.233940316686926,5.0,1642,,,-2,右下,True,False,20.0,-20.0,measurement_output\step9_bc_center_align\run_20260608_163905_792\overlays\step9_cycle_0004_20260608_163911_671_action_-2_overlay.png,measurement_output\step9_bc_center_align\run_20260608_163905_792\frames\step9_cycle_0004_20260608_163911_671_action_-2_frame.png,,,measurement_output\step9_bc_center_align\run_20260608_163905_792\masks\step9_cycle_0004_20260608_163911_671_action_-2_color_region_mask.png
5,2026-06-08 16:39:12,True,False,moving,555.2038717483364,335.60133091349064,571.765,371.765,16.561128251663604,36.163669086509344,5.0,1653,,,-2,右下,True,False,20.0,-20.0,measurement_output\step9_bc_center_align\run_20260608_163905_792\overlays\step9_cycle_0005_20260608_163912_040_action_-2_overlay.png,measurement_output\step9_bc_center_align\run_20260608_163905_792\frames\step9_cycle_0005_20260608_163912_040_action_-2_frame.png,,,measurement_output\step9_bc_center_align\run_20260608_163905_792\masks\step9_cycle_0005_20260608_163912_040_action_-2_color_region_mask.png
6,2026-06-08 16:39:12,True,False,moving,556.3014836795252,335.29910979228487,571.765,371.765,15.46351632047481,36.46589020771512,5.0,1685,,,-2,右下,True,False,20.0,-20.0,measurement_output\step9_bc_center_align\run_20260608_163905_792\overlays\step9_cycle_0006_20260608_163912_405_action_-2_overlay.png,measurement_output\step9_bc_center_align\run_20260608_163905_792\frames\step9_cycle_0006_20260608_163912_405_action_-2_frame.png,,,measurement_output\step9_bc_center_align\run_20260608_163905_792\masks\step9_cycle_0006_20260608_163912_405_action_-2_color_region_mask.png
7,2026-06-08 16:39:12,True,False,moving,556.4580335731415,334.92326139088726,571.765,371.765,15.30696642685848,36.841738609112724,5.0,1668,,,-2,右下,True,False,20.0,-20.0,measurement_output\step9_bc_center_align\run_20260608_163905_792\overlays\step9_cycle_0007_20260608_163912_755_action_-2_overlay.png,measurement_output\step9_bc_center_align\run_20260608_163905_792\frames\step9_cycle_0007_20260608_163912_755_action_-2_frame.png,,,measurement_output\step9_bc_center_align\run_20260608_163905_792\masks\step9_cycle_0007_20260608_163912_755_action_-2_color_region_mask.png
8,2026-06-08 16:39:13,True,False,moving,557.4053412462908,335.37685459940656,571.765,371.765,14.359658753709141,36.38814540059343,5.0,1685,,,-2,右下,True,False,20.0,-20.0,measurement_output\step9_bc_center_align\run_20260608_163905_792\overlays\step9_cycle_0008_20260608_163913_108_action_-2_overlay.png,measurement_output\step9_bc_center_align\run_20260608_163905_792\frames\step9_cycle_0008_20260608_163913_108_action_-2_frame.png,,,measurement_output\step9_bc_center_align\run_20260608_163905_792\masks\step9_cycle_0008_20260608_163913_108_action_-2_color_region_mask.png
9,2026-06-08 16:39:13,True,False,moving,557.2205618649133,334.7352062163778,571.765,371.765,14.544438135086693,37.02979378362221,5.0,1673,,,-2,右下,True,False,20.0,-20.0,measurement_output\step9_bc_center_align\run_20260608_163905_792\overlays\step9_cycle_0009_20260608_163913_472_action_-2_overlay.png,measurement_output\step9_bc_center_align\run_20260608_163905_792\frames\step9_cycle_0009_20260608_163913_472_action_-2_frame.png,,,measurement_output\step9_bc_center_align\run_20260608_163905_792\masks\step9_cycle_0009_20260608_163913_472_action_-2_color_region_mask.png
10,2026-06-08 16:39:14,True,False,moving,557.131455399061,334.51467136150234,571.765,371.765,14.63354460093899,37.25032863849765,5.0,1704,,,-2,右下,True,False,20.0,-20.0,measurement_output\step9_bc_center_align\run_20260608_163905_792\overlays\step9_cycle_0010_20260608_163913_838_action_-2_overlay.png,measurement_output\step9_bc_center_align\run_20260608_163905_792\frames\step9_cycle_0010_20260608_163913_838_action_-2_frame.png,,,measurement_output\step9_bc_center_align\run_20260608_163905_792\masks\step9_cycle_0010_20260608_163913_838_action_-2_color_region_mask.png
