cycle,time,ok,aligned,reason,center_x,center_y,target_x,target_y,dx,dy,tolerance_px,color_area_px,a_mask_area_px,b_mask_area_px,action_code,action_name,moved,dry_run,ch1_distance,ch2_distance,overlay_path,frame_path,b_mask_path,color_mask_path,a_mask_path,b_mask_path
1,2026-06-21 21:08:42,False,False,capture_failed:'MeasurementWorkflow' object has no attribute '_capture_current_frame_rgb',,,552.941,468.235,,,10.0,0,,,0,,False,,,,,,,,,
1,2026-06-21 21:08:59,True,False,moving,493.58610220947884,2.4973857311519647,552.941,468.235,59.35489779052119,465.73761426884806,10.0,5929,0,6674,-2,右下,True,False,0.0,20.0,measurement_output\step9_color_center_align\run_20260621_210841_525\overlays\step9_cycle_0001_20260621_210859_898_action_-2_overlay.png,measurement_output\step9_color_center_align\run_20260621_210841_525\frames\step9_cycle_0001_20260621_210859_898_action_-2_frame.png,measurement_output\step9_color_center_align\run_20260621_210841_525\ab_masks\step9_cycle_0001_20260621_210859_898_action_-2_b_mask.png,measurement_output\step9_color_center_align\run_20260621_210841_525\masks\step9_cycle_0001_20260621_210859_898_action_-2_color_region_mask.png,,measurement_output\step9_color_center_align\run_20260621_210841_525\ab_masks\step9_cycle_0001_20260621_210859_898_action_-2_b_mask.png
2,2026-06-21 21:09:00,True,False,moving,493.58610220947884,2.4973857311519647,552.941,468.235,59.35489779052119,465.73761426884806,10.0,5929,0,6674,-2,右下,True,False,0.0,20.0,measurement_output\step9_color_center_align\run_20260621_210841_525\overlays\step9_cycle_0002_20260621_210900_689_action_-2_overlay.png,measurement_output\step9_color_center_align\run_20260621_210841_525\frames\step9_cycle_0002_20260621_210900_689_action_-2_frame.png,measurement_output\step9_color_center_align\run_20260621_210841_525\ab_masks\step9_cycle_0002_20260621_210900_689_action_-2_b_mask.png,measurement_output\step9_color_center_align\run_20260621_210841_525\masks\step9_cycle_0002_20260621_210900_689_action_-2_color_region_mask.png,,measurement_output\step9_color_center_align\run_20260621_210841_525\ab_masks\step9_cycle_0002_20260621_210900_689_action_-2_b_mask.png
3,2026-06-21 21:09:01,True,False,moving,493.58610220947884,2.4973857311519647,552.941,468.235,59.35489779052119,465.73761426884806,10.0,5929,0,6674,-2,右下,True,False,0.0,20.0,measurement_output\step9_color_center_align\run_20260621_210841_525\overlays\step9_cycle_0003_20260621_210901_489_action_-2_overlay.png,measurement_output\step9_color_center_align\run_20260621_210841_525\frames\step9_cycle_0003_20260621_210901_489_action_-2_frame.png,measurement_output\step9_color_center_align\run_20260621_210841_525\ab_masks\step9_cycle_0003_20260621_210901_489_action_-2_b_mask.png,measurement_output\step9_color_center_align\run_20260621_210841_525\masks\step9_cycle_0003_20260621_210901_489_action_-2_color_region_mask.png,,measurement_output\step9_color_center_align\run_20260621_210841_525\ab_masks\step9_cycle_0003_20260621_210901_489_action_-2_b_mask.png
4,2026-06-21 21:09:02,True,False,moving,493.58610220947884,2.4973857311519647,552.941,468.235,59.35489779052119,465.73761426884806,10.0,5929,0,6674,-2,右下,True,False,0.0,20.0,measurement_output\step9_color_center_align\run_20260621_210841_525\overlays\step9_cycle_0004_20260621_210902_250_action_-2_overlay.png,measurement_output\step9_color_center_align\run_20260621_210841_525\frames\step9_cycle_0004_20260621_210902_250_action_-2_frame.png,measurement_output\step9_color_center_align\run_20260621_210841_525\ab_masks\step9_cycle_0004_20260621_210902_250_action_-2_b_mask.png,measurement_output\step9_color_center_align\run_20260621_210841_525\masks\step9_cycle_0004_20260621_210902_250_action_-2_color_region_mask.png,,measurement_output\step9_color_center_align\run_20260621_210841_525\ab_masks\step9_cycle_0004_20260621_210902_250_action_-2_b_mask.png
5,2026-06-21 21:09:03,True,False,moving,493.58610220947884,2.4973857311519647,552.941,468.235,59.35489779052119,465.73761426884806,10.0,5929,0,6674,-2,右下,True,False,0.0,20.0,measurement_output\step9_color_center_align\run_20260621_210841_525\overlays\step9_cycle_0005_20260621_210903_017_action_-2_overlay.png,measurement_output\step9_color_center_align\run_20260621_210841_525\frames\step9_cycle_0005_20260621_210903_017_action_-2_frame.png,measurement_output\step9_color_center_align\run_20260621_210841_525\ab_masks\step9_cycle_0005_20260621_210903_017_action_-2_b_mask.png,measurement_output\step9_color_center_align\run_20260621_210841_525\masks\step9_cycle_0005_20260621_210903_017_action_-2_color_region_mask.png,,measurement_output\step9_color_center_align\run_20260621_210841_525\ab_masks\step9_cycle_0005_20260621_210903_017_action_-2_b_mask.png
6,2026-06-21 21:09:03,True,False,moving,493.58610220947884,2.4973857311519647,552.941,468.235,59.35489779052119,465.73761426884806,10.0,5929,0,6674,-2,右下,True,False,0.0,20.0,measurement_output\step9_color_center_align\run_20260621_210841_525\overlays\step9_cycle_0006_20260621_210903_816_action_-2_overlay.png,measurement_output\step9_color_center_align\run_20260621_210841_525\frames\step9_cycle_0006_20260621_210903_816_action_-2_frame.png,measurement_output\step9_color_center_align\run_20260621_210841_525\ab_masks\step9_cycle_0006_20260621_210903_816_action_-2_b_mask.png,measurement_output\step9_color_center_align\run_20260621_210841_525\masks\step9_cycle_0006_20260621_210903_816_action_-2_color_region_mask.png,,measurement_output\step9_color_center_align\run_20260621_210841_525\ab_masks\step9_cycle_0006_20260621_210903_816_action_-2_b_mask.png
7,2026-06-21 21:09:04,True,False,moving,493.58610220947884,2.4973857311519647,552.941,468.235,59.35489779052119,465.73761426884806,10.0,5929,0,6674,-2,右下,True,False,0.0,20.0,measurement_output\step9_color_center_align\run_20260621_210841_525\overlays\step9_cycle_0007_20260621_210904_586_action_-2_overlay.png,measurement_output\step9_color_center_align\run_20260621_210841_525\frames\step9_cycle_0007_20260621_210904_586_action_-2_frame.png,measurement_output\step9_color_center_align\run_20260621_210841_525\ab_masks\step9_cycle_0007_20260621_210904_586_action_-2_b_mask.png,measurement_output\step9_color_center_align\run_20260621_210841_525\masks\step9_cycle_0007_20260621_210904_586_action_-2_color_region_mask.png,,measurement_output\step9_color_center_align\run_20260621_210841_525\ab_masks\step9_cycle_0007_20260621_210904_586_action_-2_b_mask.png
8,2026-06-21 21:09:05,True,False,moving,493.58610220947884,2.4973857311519647,552.941,468.235,59.35489779052119,465.73761426884806,10.0,5929,0,6674,-2,右下,True,False,0.0,20.0,measurement_output\step9_color_center_align\run_20260621_210841_525\overlays\step9_cycle_0008_20260621_210905_354_action_-2_overlay.png,measurement_output\step9_color_center_align\run_20260621_210841_525\frames\step9_cycle_0008_20260621_210905_354_action_-2_frame.png,measurement_output\step9_color_center_align\run_20260621_210841_525\ab_masks\step9_cycle_0008_20260621_210905_354_action_-2_b_mask.png,measurement_output\step9_color_center_align\run_20260621_210841_525\masks\step9_cycle_0008_20260621_210905_354_action_-2_color_region_mask.png,,measurement_output\step9_color_center_align\run_20260621_210841_525\ab_masks\step9_cycle_0008_20260621_210905_354_action_-2_b_mask.png
9,2026-06-21 21:09:06,True,False,moving,493.58610220947884,2.4973857311519647,552.941,468.235,59.35489779052119,465.73761426884806,10.0,5929,0,6674,-2,右下,True,False,0.0,20.0,measurement_output\step9_color_center_align\run_20260621_210841_525\overlays\step9_cycle_0009_20260621_210906_121_action_-2_overlay.png,measurement_output\step9_color_center_align\run_20260621_210841_525\frames\step9_cycle_0009_20260621_210906_121_action_-2_frame.png,measurement_output\step9_color_center_align\run_20260621_210841_525\ab_masks\step9_cycle_0009_20260621_210906_121_action_-2_b_mask.png,measurement_output\step9_color_center_align\run_20260621_210841_525\masks\step9_cycle_0009_20260621_210906_121_action_-2_color_region_mask.png,,measurement_output\step9_color_center_align\run_20260621_210841_525\ab_masks\step9_cycle_0009_20260621_210906_121_action_-2_b_mask.png
